annotid	AnnotDesc	Interesting_genes_with_this_annotid	Interesting_genes_with_any_annotation	BG_with_annotid	BG_with_any_annotation	pvalue	p_adj_BH	Interesting_gene_ids
GO:0005840	ribosome	104	1561	160	12998	6.959244645670534e-57	1.98408064848e-53	Adese#c16211;Adese#c18342;Adese#c15767;Adese#c15783;Adese#c9293;Adese#c18509;Adese#c7197;Adese#c7505;Adese#c15204;Adese#c7874;Adese#c8735;Adese#c16309;Adese#c11117;Adese#c6709;Adese#c15450;Adese#c19902;Adese#c18622;Adese#c18196;Adese#c9847;Adese#c9848;Adese#c15139;Adese#c18171;Adese#c14620;Adese#c19150;Adese#c19399;Adese#c11813;Adese#c16366;Adese#c15289;Adese#c16583;Adese#c10774;Adese#c17980;Adese#c19383;Adese#c20197;Adese#c8569;Adese#c16776;Adese#c16803;Adese#c14993;Adese#c11012;Adese#c17638;Adese#c18396;Adese#c11490;Adese#c7906;Adese#c8775;Adese#c13392;Adese#c9567;Adese#c6605;Adese#c9962;Adese#c12455;Adese#c9988;Adese#c19056;Adese#c12148;Adese#c16358;Adese#c13960;Adese#c13969;Adese#c13968;Adese#c17667;Adese#c14061;Adese#c15715;Adese#c15398;Adese#c6986;Adese#c19265;Adese#c16729;Adese#c13600;Adese#c10555;Adese#c17677;Adese#c15529;Adese#c12166;Adese#c12364;Adese#c19989;Adese#c15739;Adese#c14645;Adese#c12556;Adese#c19241;Adese#c16679;Adese#c13825;Adese#c11407;Adese#c15610;Adese#c14742;Adese#c14745;Adese#c15290;Adese#c8279;Adese#c16066;Adese#c12898;Adese#c7890;Adese#c20362;Adese#c15972;Adese#c18913;Adese#c14726;Adese#c15405;Adese#c9322;Adese#c7092;Adese#c13009;Adese#c17121;Adese#c11904;Adese#c9496;Adese#c11332;Adese#c6939;Adese#c15415;Adese#c18890;Adese#c18663;Adese#c4237;Adese#c7526;Adese#c14779;Adese#c15085
GO:0005198	structural molecule activity	129	1561	240	12998	1.4998897908178014e-56	2.13809289681e-53	Adese#c16211;Adese#c18342;Adese#c15767;Adese#c15783;Adese#c9293;Adese#c18509;Adese#c7197;Adese#c9264;Adese#c11121;Adese#c15204;Adese#c7878;Adese#c7874;Adese#c8735;Adese#c16309;Adese#c11117;Adese#c6709;Adese#c15450;Adese#c19902;Adese#c12752;Adese#c13055;Adese#c18622;Adese#c18196;Adese#c9847;Adese#c9848;Adese#c15139;Adese#c14620;Adese#c19150;Adese#c19399;Adese#c11813;Adese#c16366;Adese#c15289;Adese#c16583;Adese#c17980;Adese#c19566;Adese#c12478;Adese#c19383;Adese#c15584;Adese#c20197;Adese#c16379;Adese#c8569;Adese#c16776;Adese#c16803;Adese#c14993;Adese#c11012;Adese#c17638;Adese#c18396;Adese#c11490;Adese#c12590;Adese#c7906;Adese#c8775;Adese#c12138;Adese#c18801;Adese#c13392;Adese#c9567;Adese#c6605;Adese#c12455;Adese#c9988;Adese#c19056;Adese#c18941;Adese#c12148;Adese#c16358;Adese#c13960;Adese#c13969;Adese#c13968;Adese#c17667;Adese#c14061;Adese#c15715;Adese#c15398;Adese#c15623;Adese#c6986;Adese#c19265;Adese#c16729;Adese#c13600;Adese#c10555;Adese#c13779;Adese#c19521;Adese#c17677;Adese#c15529;Adese#c12166;Adese#c12364;Adese#c16734;Adese#c19989;Adese#c13612;Adese#c17067;Adese#c9517;Adese#c15739;Adese#c14645;Adese#c11053;Adese#c12556;Adese#c19241;Adese#c1039;Adese#c16679;Adese#c13825;Adese#c11407;Adese#c15610;Adese#c14745;Adese#c15290;Adese#c8128;Adese#c18879;Adese#c8279;Adese#c16066;Adese#c12898;Adese#c7890;Adese#c20362;Adese#c15972;Adese#c18913;Adese#c14726;Adese#c15405;Adese#c9322;Adese#c7092;Adese#c12091;Adese#c13009;Adese#c10664;Adese#c17121;Adese#c11904;Adese#c15184;Adese#c9496;Adese#c18251;Adese#c11332;Adese#c6939;Adese#c15415;Adese#c18890;Adese#c17040;Adese#c18663;Adese#c17330;Adese#c4237;Adese#c7526;Adese#c14779;Adese#c15085
GO:0003735	structural constituent of ribosome	113	1561	190	12998	8.119537892142761e-56	7.71626751017e-53	Adese#c16211;Adese#c18342;Adese#c15767;Adese#c15783;Adese#c9293;Adese#c18509;Adese#c7197;Adese#c15204;Adese#c7878;Adese#c7874;Adese#c8735;Adese#c16309;Adese#c11117;Adese#c6709;Adese#c15450;Adese#c19902;Adese#c18622;Adese#c18196;Adese#c9847;Adese#c9848;Adese#c15139;Adese#c14620;Adese#c19150;Adese#c19399;Adese#c11813;Adese#c16366;Adese#c15289;Adese#c16583;Adese#c17980;Adese#c19566;Adese#c12478;Adese#c19383;Adese#c20197;Adese#c16379;Adese#c8569;Adese#c16776;Adese#c16803;Adese#c14993;Adese#c11012;Adese#c17638;Adese#c18396;Adese#c11490;Adese#c7906;Adese#c8775;Adese#c12138;Adese#c13392;Adese#c9567;Adese#c6605;Adese#c12455;Adese#c9988;Adese#c19056;Adese#c12148;Adese#c16358;Adese#c13960;Adese#c13969;Adese#c13968;Adese#c17667;Adese#c14061;Adese#c15715;Adese#c15398;Adese#c15623;Adese#c6986;Adese#c19265;Adese#c16729;Adese#c13600;Adese#c10555;Adese#c17677;Adese#c15529;Adese#c12166;Adese#c12364;Adese#c16734;Adese#c19989;Adese#c17067;Adese#c9517;Adese#c15739;Adese#c14645;Adese#c11053;Adese#c12556;Adese#c19241;Adese#c16679;Adese#c13825;Adese#c11407;Adese#c15610;Adese#c14745;Adese#c15290;Adese#c8128;Adese#c8279;Adese#c16066;Adese#c12898;Adese#c7890;Adese#c20362;Adese#c15972;Adese#c18913;Adese#c14726;Adese#c15405;Adese#c9322;Adese#c7092;Adese#c12091;Adese#c13009;Adese#c17121;Adese#c11904;Adese#c15184;Adese#c9496;Adese#c11332;Adese#c6939;Adese#c15415;Adese#c18890;Adese#c17040;Adese#c18663;Adese#c4237;Adese#c7526;Adese#c14779;Adese#c15085
GO:0006412	translation	106	1561	190	12998	1.2598318167215902e-48	8.97945127368e-46	Adese#c16211;Adese#c18342;Adese#c15767;Adese#c15783;Adese#c9293;Adese#c7197;Adese#c15204;Adese#c7878;Adese#c7874;Adese#c8735;Adese#c16309;Adese#c11117;Adese#c6709;Adese#c15450;Adese#c19902;Adese#c18622;Adese#c18196;Adese#c9847;Adese#c9848;Adese#c15139;Adese#c14620;Adese#c19150;Adese#c19399;Adese#c11813;Adese#c16366;Adese#c15289;Adese#c16583;Adese#c17980;Adese#c19566;Adese#c12478;Adese#c19383;Adese#c20197;Adese#c16379;Adese#c8569;Adese#c16776;Adese#c16803;Adese#c14993;Adese#c11012;Adese#c17638;Adese#c18396;Adese#c11490;Adese#c7906;Adese#c8775;Adese#c13392;Adese#c9567;Adese#c6605;Adese#c12455;Adese#c9988;Adese#c19056;Adese#c12148;Adese#c16358;Adese#c13960;Adese#c17667;Adese#c14061;Adese#c15715;Adese#c15398;Adese#c15623;Adese#c6986;Adese#c19265;Adese#c7968;Adese#c16729;Adese#c13600;Adese#c10555;Adese#c17677;Adese#c15529;Adese#c12166;Adese#c12364;Adese#c19989;Adese#c17067;Adese#c9517;Adese#c15739;Adese#c14645;Adese#c11053;Adese#c12556;Adese#c19241;Adese#c16679;Adese#c13825;Adese#c11407;Adese#c15610;Adese#c15290;Adese#c8128;Adese#c8279;Adese#c16066;Adese#c12898;Adese#c7890;Adese#c20362;Adese#c15972;Adese#c18913;Adese#c14726;Adese#c15405;Adese#c9322;Adese#c7092;Adese#c12091;Adese#c13009;Adese#c17121;Adese#c15184;Adese#c9496;Adese#c11332;Adese#c6939;Adese#c15415;Adese#c18890;Adese#c18663;Adese#c4237;Adese#c7526;Adese#c14779;Adese#c15085
GO:0043043	peptide biosynthetic process	107	1561	196	12998	7.756367613820532e-48	4.4226808134e-45	Adese#c16211;Adese#c10648;Adese#c18342;Adese#c15767;Adese#c15783;Adese#c9293;Adese#c7197;Adese#c15204;Adese#c7878;Adese#c7874;Adese#c8735;Adese#c16309;Adese#c11117;Adese#c6709;Adese#c15450;Adese#c19902;Adese#c18622;Adese#c18196;Adese#c9847;Adese#c9848;Adese#c15139;Adese#c14620;Adese#c19150;Adese#c19399;Adese#c11813;Adese#c16366;Adese#c15289;Adese#c16583;Adese#c17980;Adese#c19566;Adese#c12478;Adese#c19383;Adese#c20197;Adese#c16379;Adese#c8569;Adese#c16776;Adese#c16803;Adese#c14993;Adese#c11012;Adese#c17638;Adese#c18396;Adese#c11490;Adese#c7906;Adese#c8775;Adese#c13392;Adese#c9567;Adese#c6605;Adese#c12455;Adese#c9988;Adese#c19056;Adese#c12148;Adese#c16358;Adese#c13960;Adese#c17667;Adese#c14061;Adese#c15715;Adese#c15398;Adese#c15623;Adese#c6986;Adese#c19265;Adese#c7968;Adese#c16729;Adese#c13600;Adese#c10555;Adese#c17677;Adese#c15529;Adese#c12166;Adese#c12364;Adese#c19989;Adese#c17067;Adese#c9517;Adese#c15739;Adese#c14645;Adese#c11053;Adese#c12556;Adese#c19241;Adese#c16679;Adese#c13825;Adese#c11407;Adese#c15610;Adese#c15290;Adese#c8128;Adese#c8279;Adese#c16066;Adese#c12898;Adese#c7890;Adese#c20362;Adese#c15972;Adese#c18913;Adese#c14726;Adese#c15405;Adese#c9322;Adese#c7092;Adese#c12091;Adese#c13009;Adese#c17121;Adese#c15184;Adese#c9496;Adese#c11332;Adese#c6939;Adese#c15415;Adese#c18890;Adese#c18663;Adese#c4237;Adese#c7526;Adese#c14779;Adese#c15085
GO:0006518	peptide metabolic process	116	1561	230	12998	4.349817592222707e-47	2.0668883259e-44	Adese#c16211;Adese#c10648;Adese#c18342;Adese#c15767;Adese#c15783;Adese#c9293;Adese#c12523;Adese#c7197;Adese#c8954;Adese#c10410;Adese#c14203;Adese#c15204;Adese#c7878;Adese#c7874;Adese#c8735;Adese#c16309;Adese#c11117;Adese#c6709;Adese#c15450;Adese#c19902;Adese#c18622;Adese#c18196;Adese#c9847;Adese#c9848;Adese#c15139;Adese#c14620;Adese#c19150;Adese#c19399;Adese#c11813;Adese#c16366;Adese#c15289;Adese#c16583;Adese#c17980;Adese#c19566;Adese#c12478;Adese#c19383;Adese#c20197;Adese#c16379;Adese#c8569;Adese#c16776;Adese#c16803;Adese#c14993;Adese#c11012;Adese#c17638;Adese#c18396;Adese#c11490;Adese#c7906;Adese#c8775;Adese#c13392;Adese#c11021;Adese#c9567;Adese#c6605;Adese#c12455;Adese#c9988;Adese#c19056;Adese#c12148;Adese#c16358;Adese#c13960;Adese#c17667;Adese#c14066;Adese#c14061;Adese#c15715;Adese#c15398;Adese#c15623;Adese#c6986;Adese#c19265;Adese#c7968;Adese#c16729;Adese#c13600;Adese#c10555;Adese#c17677;Adese#c15529;Adese#c12166;Adese#c12364;Adese#c19989;Adese#c3683;Adese#c17067;Adese#c9517;Adese#c15739;Adese#c14645;Adese#c11053;Adese#c12556;Adese#c19241;Adese#c16679;Adese#c13825;Adese#c11668;Adese#c11407;Adese#c15610;Adese#c15290;Adese#c8128;Adese#c8279;Adese#c16066;Adese#c12898;Adese#c7890;Adese#c20362;Adese#c15972;Adese#c18913;Adese#c14726;Adese#c15405;Adese#c9322;Adese#c7092;Adese#c12091;Adese#c13009;Adese#c17121;Adese#c15184;Adese#c9496;Adese#c11332;Adese#c6939;Adese#c15415;Adese#c18890;Adese#c18663;Adese#c4237;Adese#c10878;Adese#c7526;Adese#c14779;Adese#c15085
GO:0043228	non-membrane-bounded organelle	130	1561	304	12998	1.3082466119699781e-42	4.66226386341e-40	Adese#c16211;Adese#c14213;Adese#c18342;Adese#c15767;Adese#c15783;Adese#c9293;Adese#c18509;Adese#c7197;Adese#c7505;Adese#c9465;Adese#c14759;Adese#c15204;Adese#c7874;Adese#c8735;Adese#c16309;Adese#c11117;Adese#c6709;Adese#c15450;Adese#c19902;Adese#c18622;Adese#c13458;Adese#c18196;Adese#c9847;Adese#c9848;Adese#c15139;Adese#c11106;Adese#c18171;Adese#c14620;Adese#c19150;Adese#c19399;Adese#c13684;Adese#c11813;Adese#c16366;Adese#c15289;Adese#c16583;Adese#c10774;Adese#c17980;Adese#c6726;Adese#c6623;Adese#c12478;Adese#c19383;Adese#c9976;Adese#c15584;Adese#c12722;Adese#c20197;Adese#c8569;Adese#c16776;Adese#c16803;Adese#c13948;Adese#c14993;Adese#c11012;Adese#c17638;Adese#c18396;Adese#c11490;Adese#c7906;Adese#c8775;Adese#c13392;Adese#c9396;Adese#c9567;Adese#c6605;Adese#c9962;Adese#c12455;Adese#c9988;Adese#c19056;Adese#c12148;Adese#c16358;Adese#c13362;Adese#c13960;Adese#c13969;Adese#c13968;Adese#c17667;Adese#c14061;Adese#c15715;Adese#c15398;Adese#c6986;Adese#c19265;Adese#c16729;Adese#c13600;Adese#c10555;Adese#c17677;Adese#c15529;Adese#c12166;Adese#c12364;Adese#c19989;Adese#c13612;Adese#c9517;Adese#c14465;Adese#c15739;Adese#c14645;Adese#c12556;Adese#c6966;Adese#c19241;Adese#c12178;Adese#c16679;Adese#c13825;Adese#c11407;Adese#c15610;Adese#c14742;Adese#c14745;Adese#c15290;Adese#c8279;Adese#c16066;Adese#c12898;Adese#c7890;Adese#c20362;Adese#c15972;Adese#c18913;Adese#c14726;Adese#c15405;Adese#c9322;Adese#c20104;Adese#c7092;Adese#c12091;Adese#c13009;Adese#c13260;Adese#c10112;Adese#c17121;Adese#c11904;Adese#c9496;Adese#c11332;Adese#c6939;Adese#c15415;Adese#c18890;Adese#c18663;Adese#c4237;Adese#c7526;Adese#c15773;Adese#c14779;Adese#c15085;Adese#c14688
GO:0043232	intracellular non-membrane-bounded organelle	130	1561	304	12998	1.3082466119699781e-42	4.66226386341e-40	Adese#c16211;Adese#c14213;Adese#c18342;Adese#c15767;Adese#c15783;Adese#c9293;Adese#c18509;Adese#c7197;Adese#c7505;Adese#c9465;Adese#c14759;Adese#c15204;Adese#c7874;Adese#c8735;Adese#c16309;Adese#c11117;Adese#c6709;Adese#c15450;Adese#c19902;Adese#c18622;Adese#c13458;Adese#c18196;Adese#c9847;Adese#c9848;Adese#c15139;Adese#c11106;Adese#c18171;Adese#c14620;Adese#c19150;Adese#c19399;Adese#c13684;Adese#c11813;Adese#c16366;Adese#c15289;Adese#c16583;Adese#c10774;Adese#c17980;Adese#c6726;Adese#c6623;Adese#c12478;Adese#c19383;Adese#c9976;Adese#c15584;Adese#c12722;Adese#c20197;Adese#c8569;Adese#c16776;Adese#c16803;Adese#c13948;Adese#c14993;Adese#c11012;Adese#c17638;Adese#c18396;Adese#c11490;Adese#c7906;Adese#c8775;Adese#c13392;Adese#c9396;Adese#c9567;Adese#c6605;Adese#c9962;Adese#c12455;Adese#c9988;Adese#c19056;Adese#c12148;Adese#c16358;Adese#c13362;Adese#c13960;Adese#c13969;Adese#c13968;Adese#c17667;Adese#c14061;Adese#c15715;Adese#c15398;Adese#c6986;Adese#c19265;Adese#c16729;Adese#c13600;Adese#c10555;Adese#c17677;Adese#c15529;Adese#c12166;Adese#c12364;Adese#c19989;Adese#c13612;Adese#c9517;Adese#c14465;Adese#c15739;Adese#c14645;Adese#c12556;Adese#c6966;Adese#c19241;Adese#c12178;Adese#c16679;Adese#c13825;Adese#c11407;Adese#c15610;Adese#c14742;Adese#c14745;Adese#c15290;Adese#c8279;Adese#c16066;Adese#c12898;Adese#c7890;Adese#c20362;Adese#c15972;Adese#c18913;Adese#c14726;Adese#c15405;Adese#c9322;Adese#c20104;Adese#c7092;Adese#c12091;Adese#c13009;Adese#c13260;Adese#c10112;Adese#c17121;Adese#c11904;Adese#c9496;Adese#c11332;Adese#c6939;Adese#c15415;Adese#c18890;Adese#c18663;Adese#c4237;Adese#c7526;Adese#c15773;Adese#c14779;Adese#c15085;Adese#c14688
GO:0043604	amide biosynthetic process	109	1561	224	12998	2.3756754938595492e-42	7.52561203666e-40	Adese#c16211;Adese#c10648;Adese#c18342;Adese#c15767;Adese#c15783;Adese#c9293;Adese#c7197;Adese#c15204;Adese#c7878;Adese#c7874;Adese#c8735;Adese#c16309;Adese#c11117;Adese#c6709;Adese#c15450;Adese#c19902;Adese#c18622;Adese#c18196;Adese#c9847;Adese#c9848;Adese#c15139;Adese#c14620;Adese#c19150;Adese#c19399;Adese#c11813;Adese#c16366;Adese#c15289;Adese#c16583;Adese#c17980;Adese#c19566;Adese#c12478;Adese#c19383;Adese#c20197;Adese#c16379;Adese#c8569;Adese#c16776;Adese#c16803;Adese#c14993;Adese#c11012;Adese#c17638;Adese#c18396;Adese#c11490;Adese#c7906;Adese#c8775;Adese#c13392;Adese#c9567;Adese#c6605;Adese#c12455;Adese#c9988;Adese#c19056;Adese#c12148;Adese#c16358;Adese#c13960;Adese#c17667;Adese#c14061;Adese#c15715;Adese#c15398;Adese#c15623;Adese#c6986;Adese#c19265;Adese#c7968;Adese#c16729;Adese#c13600;Adese#c10555;Adese#c17677;Adese#c15529;Adese#c12166;Adese#c12364;Adese#c19989;Adese#c17067;Adese#c9517;Adese#c15739;Adese#c14645;Adese#c11053;Adese#c12556;Adese#c19241;Adese#c16679;Adese#c13825;Adese#c11407;Adese#c15610;Adese#c15290;Adese#c8128;Adese#c8279;Adese#c19891;Adese#c16066;Adese#c12898;Adese#c7890;Adese#c20362;Adese#c15972;Adese#c18913;Adese#c14726;Adese#c15405;Adese#c9322;Adese#c7092;Adese#c12091;Adese#c8844;Adese#c13009;Adese#c17121;Adese#c15184;Adese#c9496;Adese#c11332;Adese#c6939;Adese#c15415;Adese#c18890;Adese#c18663;Adese#c4237;Adese#c7526;Adese#c14779;Adese#c15085
GO:0043603	cellular amide metabolic process	122	1561	279	12998	3.148915894098061e-41	8.97755921407e-39	Adese#c16211;Adese#c10648;Adese#c14547;Adese#c18342;Adese#c15767;Adese#c15783;Adese#c9293;Adese#c12523;Adese#c7197;Adese#c8954;Adese#c10410;Adese#c14203;Adese#c15204;Adese#c7878;Adese#c7874;Adese#c8735;Adese#c16309;Adese#c16015;Adese#c11117;Adese#c6709;Adese#c15450;Adese#c19902;Adese#c18622;Adese#c18196;Adese#c9847;Adese#c9848;Adese#c15139;Adese#c14620;Adese#c19150;Adese#c19399;Adese#c11813;Adese#c16366;Adese#c15289;Adese#c16583;Adese#c17980;Adese#c19566;Adese#c12478;Adese#c19383;Adese#c20197;Adese#c16379;Adese#c8569;Adese#c16776;Adese#c16803;Adese#c14993;Adese#c11012;Adese#c17638;Adese#c18396;Adese#c11490;Adese#c7906;Adese#c8775;Adese#c13392;Adese#c11021;Adese#c9567;Adese#c6605;Adese#c12455;Adese#c9988;Adese#c19056;Adese#c12148;Adese#c16358;Adese#c19721;Adese#c13960;Adese#c17667;Adese#c14066;Adese#c14061;Adese#c15715;Adese#c15398;Adese#c15623;Adese#c6986;Adese#c19265;Adese#c7968;Adese#c16729;Adese#c13600;Adese#c10555;Adese#c17677;Adese#c15529;Adese#c12166;Adese#c12364;Adese#c19989;Adese#c3683;Adese#c17067;Adese#c9517;Adese#c15739;Adese#c14645;Adese#c11053;Adese#c12556;Adese#c19241;Adese#c16679;Adese#c13825;Adese#c11668;Adese#c11407;Adese#c15610;Adese#c15290;Adese#c8128;Adese#c8279;Adese#c19891;Adese#c16066;Adese#c12898;Adese#c7890;Adese#c20362;Adese#c15972;Adese#c18913;Adese#c14726;Adese#c15405;Adese#c9322;Adese#c7092;Adese#c12091;Adese#c8844;Adese#c13009;Adese#c17121;Adese#c15184;Adese#c9496;Adese#c11332;Adese#c6939;Adese#c15415;Adese#c18890;Adese#c18663;Adese#c4237;Adese#c10878;Adese#c7526;Adese#c14227;Adese#c14779;Adese#c15085
