annotid	AnnotDesc	Interesting_genes_with_this_annotid	Interesting_genes_with_any_annotation	BG_with_annotid	BG_with_any_annotation	pvalue	p_adj_BH	Interesting_gene_ids
GO:0003735	structural constituent of ribosome	127	1966	187	14463	3.714564530844084e-66	1.16414452397e-62	Aerin#c21739;Aerin#c13850;Aerin#c15111;Aerin#c10954;Aerin#c16486;Aerin#c26092;Aerin#c19763;Aerin#c19561;Aerin#c21254;Aerin#c20498;Aerin#c20664;Aerin#c22394;Aerin#c22652;Aerin#c22097;Aerin#c15308;Aerin#c19958;Aerin#c17539;Aerin#c25283;Aerin#c11790;Aerin#c22433;Aerin#c14920;Aerin#c20652;Aerin#c8449;Aerin#c15788;Aerin#c23450;Aerin#c15227;Aerin#c17826;Aerin#c20122;Aerin#c20123;Aerin#c19893;Aerin#c23024;Aerin#c16068;Aerin#c15468;Aerin#c23849;Aerin#c25071;Aerin#c15799;Aerin#c18543;Aerin#c17108;Aerin#c12971;Aerin#c24734;Aerin#c22452;Aerin#c23856;Aerin#c12197;Aerin#c15635;Aerin#c22325;Aerin#c16992;Aerin#c19182;Aerin#c24059;Aerin#c24478;Aerin#c23317;Aerin#c13610;Aerin#c26355;Aerin#c26356;Aerin#c22059;Aerin#c18919;Aerin#c21569;Aerin#c23368;Aerin#c20787;Aerin#c23795;Aerin#c18011;Aerin#c18610;Aerin#c21786;Aerin#c23214;Aerin#c19210;Aerin#c12652;Aerin#c20793;Aerin#c10811;Aerin#c19286;Aerin#c17923;Aerin#c14162;Aerin#c14011;Aerin#c13133;Aerin#c20542;Aerin#c21541;Aerin#c17159;Aerin#c14388;Aerin#c23170;Aerin#c19676;Aerin#c19815;Aerin#c17625;Aerin#c17626;Aerin#c19250;Aerin#c21236;Aerin#c20326;Aerin#c10709;Aerin#c23229;Aerin#c12525;Aerin#c17090;Aerin#c21933;Aerin#c22019;Aerin#c21845;Aerin#c19069;Aerin#c19937;Aerin#c19936;Aerin#c12308;Aerin#c24423;Aerin#c18757;Aerin#c20522;Aerin#c12601;Aerin#c17956;Aerin#c21325;Aerin#c4577;Aerin#c24295;Aerin#c16170;Aerin#c13675;Aerin#c21464;Aerin#c21661;Aerin#c5817;Aerin#c16830;Aerin#c25480;Aerin#c13715;Aerin#c20611;Aerin#c14877;Aerin#c21677;Aerin#c6605;Aerin#c8044;Aerin#c19699;Aerin#c18613;Aerin#c21274;Aerin#c10746;Aerin#c25387;Aerin#c20516;Aerin#c12059;Aerin#c12582;Aerin#c21707;Aerin#c17605;Aerin#c16814
GO:0005198	structural molecule activity	146	1966	244	14463	5.3334132159257994e-65	8.35745850936e-62	Aerin#c21739;Aerin#c13850;Aerin#c15111;Aerin#c10954;Aerin#c16486;Aerin#c26092;Aerin#c19763;Aerin#c19561;Aerin#c21254;Aerin#c18095;Aerin#c20490;Aerin#c20498;Aerin#c20664;Aerin#c22394;Aerin#c22652;Aerin#c22097;Aerin#c15308;Aerin#c19958;Aerin#c17539;Aerin#c25283;Aerin#c11790;Aerin#c22433;Aerin#c14920;Aerin#c20652;Aerin#c8449;Aerin#c15788;Aerin#c23450;Aerin#c15227;Aerin#c17826;Aerin#c20122;Aerin#c20123;Aerin#c19893;Aerin#c23024;Aerin#c16068;Aerin#c15468;Aerin#c23849;Aerin#c25071;Aerin#c15799;Aerin#c18543;Aerin#c23936;Aerin#c23937;Aerin#c17108;Aerin#c6525;Aerin#c12971;Aerin#c22187;Aerin#c24734;Aerin#c22452;Aerin#c11621;Aerin#c23856;Aerin#c21617;Aerin#c12197;Aerin#c15635;Aerin#c22325;Aerin#c16992;Aerin#c11213;Aerin#c19182;Aerin#c24059;Aerin#c18106;Aerin#c24478;Aerin#c23317;Aerin#c13610;Aerin#c26355;Aerin#c26356;Aerin#c22059;Aerin#c18919;Aerin#c15502;Aerin#c21569;Aerin#c23368;Aerin#c20787;Aerin#c23795;Aerin#c24073;Aerin#c18011;Aerin#c18610;Aerin#c21786;Aerin#c23214;Aerin#c19210;Aerin#c12652;Aerin#c20793;Aerin#c10811;Aerin#c19286;Aerin#c17923;Aerin#c14162;Aerin#c14011;Aerin#c13133;Aerin#c20542;Aerin#c21541;Aerin#c17159;Aerin#c14388;Aerin#c23170;Aerin#c19676;Aerin#c19815;Aerin#c17625;Aerin#c17626;Aerin#c19250;Aerin#c21236;Aerin#c20326;Aerin#c10709;Aerin#c23229;Aerin#c12525;Aerin#c17090;Aerin#c21933;Aerin#c22019;Aerin#c21845;Aerin#c19069;Aerin#c23426;Aerin#c14149;Aerin#c19719;Aerin#c19937;Aerin#c19936;Aerin#c12308;Aerin#c24423;Aerin#c18757;Aerin#c20522;Aerin#c12601;Aerin#c17956;Aerin#c14457;Aerin#c21325;Aerin#c4577;Aerin#c24295;Aerin#c16170;Aerin#c13675;Aerin#c21464;Aerin#c21661;Aerin#c5817;Aerin#c16830;Aerin#c25480;Aerin#c13715;Aerin#c20611;Aerin#c14877;Aerin#c21677;Aerin#c6605;Aerin#c23522;Aerin#c8044;Aerin#c19699;Aerin#c18613;Aerin#c21274;Aerin#c10746;Aerin#c25387;Aerin#c20516;Aerin#c12059;Aerin#c12582;Aerin#c21707;Aerin#c26136;Aerin#c17605;Aerin#c18376;Aerin#c16814
GO:0006412	translation	125	1966	191	14463	3.106738808011476e-62	3.24550647477e-59	Aerin#c21739;Aerin#c13850;Aerin#c15111;Aerin#c23711;Aerin#c10954;Aerin#c16486;Aerin#c26092;Aerin#c19763;Aerin#c19561;Aerin#c21254;Aerin#c20498;Aerin#c20664;Aerin#c22394;Aerin#c22652;Aerin#c22097;Aerin#c15308;Aerin#c19958;Aerin#c17539;Aerin#c25283;Aerin#c22433;Aerin#c14920;Aerin#c20652;Aerin#c8449;Aerin#c15788;Aerin#c23450;Aerin#c15227;Aerin#c17826;Aerin#c20122;Aerin#c20123;Aerin#c19893;Aerin#c23024;Aerin#c16068;Aerin#c23849;Aerin#c25071;Aerin#c15799;Aerin#c18543;Aerin#c17108;Aerin#c12971;Aerin#c24734;Aerin#c22452;Aerin#c18938;Aerin#c23856;Aerin#c12197;Aerin#c15635;Aerin#c22325;Aerin#c16992;Aerin#c19182;Aerin#c24059;Aerin#c24478;Aerin#c13610;Aerin#c26355;Aerin#c26356;Aerin#c22059;Aerin#c18919;Aerin#c21569;Aerin#c190;Aerin#c23368;Aerin#c20787;Aerin#c23795;Aerin#c18011;Aerin#c18610;Aerin#c21786;Aerin#c23214;Aerin#c19210;Aerin#c12652;Aerin#c20793;Aerin#c10811;Aerin#c19286;Aerin#c17923;Aerin#c22497;Aerin#c14162;Aerin#c14011;Aerin#c13133;Aerin#c20542;Aerin#c21541;Aerin#c17159;Aerin#c14388;Aerin#c23170;Aerin#c19676;Aerin#c19815;Aerin#c17625;Aerin#c17626;Aerin#c19250;Aerin#c21236;Aerin#c20326;Aerin#c10709;Aerin#c23229;Aerin#c12525;Aerin#c17090;Aerin#c21933;Aerin#c22019;Aerin#c21845;Aerin#c19069;Aerin#c19937;Aerin#c19936;Aerin#c12308;Aerin#c24423;Aerin#c18757;Aerin#c12601;Aerin#c21325;Aerin#c24295;Aerin#c16170;Aerin#c13675;Aerin#c21464;Aerin#c21661;Aerin#c5817;Aerin#c16830;Aerin#c25480;Aerin#c13715;Aerin#c20611;Aerin#c14877;Aerin#c21677;Aerin#c6605;Aerin#c8044;Aerin#c19699;Aerin#c18613;Aerin#c21274;Aerin#c10746;Aerin#c25387;Aerin#c20516;Aerin#c12059;Aerin#c12582;Aerin#c21707;Aerin#c17605;Aerin#c16814
GO:0005840	ribosome	117	1966	171	14463	1.561747790932974e-61	1.2236293942e-58	Aerin#c21739;Aerin#c13850;Aerin#c15111;Aerin#c10954;Aerin#c16486;Aerin#c19763;Aerin#c19561;Aerin#c21254;Aerin#c20498;Aerin#c22394;Aerin#c22652;Aerin#c22097;Aerin#c15308;Aerin#c19958;Aerin#c17539;Aerin#c25283;Aerin#c11790;Aerin#c22433;Aerin#c14920;Aerin#c20652;Aerin#c8449;Aerin#c15788;Aerin#c23450;Aerin#c15227;Aerin#c17826;Aerin#c12942;Aerin#c19893;Aerin#c23024;Aerin#c15468;Aerin#c23849;Aerin#c25071;Aerin#c15799;Aerin#c18543;Aerin#c17108;Aerin#c12971;Aerin#c24734;Aerin#c22452;Aerin#c23856;Aerin#c12197;Aerin#c16215;Aerin#c15635;Aerin#c22325;Aerin#c16992;Aerin#c19182;Aerin#c24059;Aerin#c22535;Aerin#c24478;Aerin#c13610;Aerin#c26355;Aerin#c26356;Aerin#c22059;Aerin#c18919;Aerin#c23368;Aerin#c20787;Aerin#c23795;Aerin#c18011;Aerin#c18610;Aerin#c21786;Aerin#c23214;Aerin#c19210;Aerin#c12652;Aerin#c20793;Aerin#c10811;Aerin#c17923;Aerin#c22497;Aerin#c14162;Aerin#c14011;Aerin#c13133;Aerin#c20542;Aerin#c21541;Aerin#c17159;Aerin#c14388;Aerin#c23170;Aerin#c19676;Aerin#c19815;Aerin#c17625;Aerin#c17626;Aerin#c19250;Aerin#c21236;Aerin#c20326;Aerin#c10709;Aerin#c23229;Aerin#c12525;Aerin#c21933;Aerin#c22019;Aerin#c21845;Aerin#c19069;Aerin#c19937;Aerin#c19936;Aerin#c12308;Aerin#c24423;Aerin#c18757;Aerin#c12601;Aerin#c21325;Aerin#c24295;Aerin#c16170;Aerin#c13675;Aerin#c21464;Aerin#c21661;Aerin#c5817;Aerin#c16830;Aerin#c25480;Aerin#c13715;Aerin#c20611;Aerin#c14877;Aerin#c21677;Aerin#c6605;Aerin#c8044;Aerin#c19699;Aerin#c18613;Aerin#c10746;Aerin#c25387;Aerin#c20516;Aerin#c12059;Aerin#c12582;Aerin#c17605;Aerin#c16814
GO:0006518	peptide metabolic process	134	1966	219	14463	2.3057152863547466e-61	1.44522234149e-58	Aerin#c21739;Aerin#c13850;Aerin#c15111;Aerin#c23711;Aerin#c10954;Aerin#c16486;Aerin#c26092;Aerin#c19763;Aerin#c19561;Aerin#c21254;Aerin#c20498;Aerin#c16132;Aerin#c20664;Aerin#c22394;Aerin#c22652;Aerin#c22097;Aerin#c15308;Aerin#c19958;Aerin#c17539;Aerin#c25283;Aerin#c22433;Aerin#c14920;Aerin#c20652;Aerin#c8449;Aerin#c15788;Aerin#c23450;Aerin#c15227;Aerin#c17826;Aerin#c20122;Aerin#c20123;Aerin#c19893;Aerin#c22460;Aerin#c23024;Aerin#c16068;Aerin#c23849;Aerin#c25071;Aerin#c15799;Aerin#c18543;Aerin#c17108;Aerin#c12971;Aerin#c24734;Aerin#c22452;Aerin#c18938;Aerin#c23856;Aerin#c12197;Aerin#c15635;Aerin#c22325;Aerin#c16992;Aerin#c19182;Aerin#c24059;Aerin#c24478;Aerin#c13610;Aerin#c26355;Aerin#c26356;Aerin#c22059;Aerin#c18919;Aerin#c11861;Aerin#c21569;Aerin#c190;Aerin#c23368;Aerin#c20787;Aerin#c23795;Aerin#c18494;Aerin#c18011;Aerin#c18010;Aerin#c18610;Aerin#c21786;Aerin#c23214;Aerin#c19210;Aerin#c12652;Aerin#c20793;Aerin#c10811;Aerin#c19286;Aerin#c17923;Aerin#c22497;Aerin#c14162;Aerin#c16941;Aerin#c14011;Aerin#c13133;Aerin#c20542;Aerin#c21541;Aerin#c17159;Aerin#c2036;Aerin#c14388;Aerin#c23170;Aerin#c19676;Aerin#c19815;Aerin#c17625;Aerin#c17626;Aerin#c19250;Aerin#c21236;Aerin#c20326;Aerin#c10709;Aerin#c23229;Aerin#c12525;Aerin#c17090;Aerin#c21933;Aerin#c22019;Aerin#c21845;Aerin#c19069;Aerin#c19937;Aerin#c19936;Aerin#c12308;Aerin#c24423;Aerin#c18757;Aerin#c22906;Aerin#c12601;Aerin#c21325;Aerin#c24295;Aerin#c16170;Aerin#c13675;Aerin#c11475;Aerin#c21464;Aerin#c21661;Aerin#c5817;Aerin#c16830;Aerin#c25480;Aerin#c13715;Aerin#c20611;Aerin#c14877;Aerin#c21677;Aerin#c6605;Aerin#c8044;Aerin#c19699;Aerin#c18613;Aerin#c21274;Aerin#c10746;Aerin#c25387;Aerin#c20516;Aerin#c12059;Aerin#c12582;Aerin#c21707;Aerin#c17605;Aerin#c16814
GO:1901566	organonitrogen compound biosynthetic process	229	1966	557	14463	1.027699345783358e-60	5.36801624948e-58	Aerin#c20467;Aerin#c21739;Aerin#c10860;Aerin#c16257;Aerin#c11918;Aerin#c13850;Aerin#c15111;Aerin#c23711;Aerin#c10954;Aerin#c16486;Aerin#c26092;Aerin#c19763;Aerin#c19561;Aerin#c22378;Aerin#c21254;Aerin#c20498;Aerin#c21381;Aerin#c16133;Aerin#c17521;Aerin#c13211;Aerin#c20664;Aerin#c22394;Aerin#c17017;Aerin#c22652;Aerin#c22097;Aerin#c15308;Aerin#c19958;Aerin#c13332;Aerin#c17539;Aerin#c25283;Aerin#c22433;Aerin#c14920;Aerin#c20652;Aerin#c8449;Aerin#c15788;Aerin#c21529;Aerin#c23459;Aerin#c23450;Aerin#c15227;Aerin#c17826;Aerin#c14324;Aerin#c20122;Aerin#c20123;Aerin#c19893;Aerin#c16686;Aerin#c25526;Aerin#c17641;Aerin#c23024;Aerin#c13236;Aerin#c16068;Aerin#c14915;Aerin#c20735;Aerin#c23849;Aerin#c25710;Aerin#c25071;Aerin#c15799;Aerin#c12163;Aerin#c18543;Aerin#c17108;Aerin#c10927;Aerin#c12971;Aerin#c19089;Aerin#c20135;Aerin#c14232;Aerin#c23104;Aerin#c24734;Aerin#c22452;Aerin#c14121;Aerin#c18938;Aerin#c13559;Aerin#c23856;Aerin#c12197;Aerin#c12204;Aerin#c15635;Aerin#c22325;Aerin#c16992;Aerin#c24908;Aerin#c21921;Aerin#c19632;Aerin#c19182;Aerin#c18589;Aerin#c4460;Aerin#c24059;Aerin#c22531;Aerin#c24478;Aerin#c25254;Aerin#c23829;Aerin#c20754;Aerin#c16226;Aerin#c13610;Aerin#c21576;Aerin#c26355;Aerin#c26356;Aerin#c22059;Aerin#c23634;Aerin#c18919;Aerin#c21080;Aerin#c21569;Aerin#c190;Aerin#c15616;Aerin#c23368;Aerin#c17130;Aerin#c20787;Aerin#c23155;Aerin#c23795;Aerin#c21360;Aerin#c18901;Aerin#c18497;Aerin#c18011;Aerin#c18010;Aerin#c18870;Aerin#c18610;Aerin#c21786;Aerin#c23214;Aerin#c18709;Aerin#c24259;Aerin#c19210;Aerin#c21555;Aerin#c12659;Aerin#c12652;Aerin#c20793;Aerin#c10811;Aerin#c19286;Aerin#c19516;Aerin#c17923;Aerin#c22497;Aerin#c23781;Aerin#c14162;Aerin#c21222;Aerin#c14011;Aerin#c20402;Aerin#c13133;Aerin#c20542;Aerin#c20540;Aerin#c21541;Aerin#c17159;Aerin#c14388;Aerin#c23170;Aerin#c12898;Aerin#c19676;Aerin#c19815;Aerin#c17625;Aerin#c17626;Aerin#c19250;Aerin#c21236;Aerin#c20326;Aerin#c10709;Aerin#c23229;Aerin#c22800;Aerin#c12525;Aerin#c17090;Aerin#c21933;Aerin#c17364;Aerin#c22019;Aerin#c21845;Aerin#c21594;Aerin#c19069;Aerin#c20151;Aerin#c14143;Aerin#c19937;Aerin#c19936;Aerin#c19934;Aerin#c12308;Aerin#c24423;Aerin#c21112;Aerin#c10738;Aerin#c18757;Aerin#c14859;Aerin#c12266;Aerin#c22906;Aerin#c12601;Aerin#c21922;Aerin#c13594;Aerin#c13590;Aerin#c19013;Aerin#c19654;Aerin#c19653;Aerin#c19128;Aerin#c21325;Aerin#c19904;Aerin#c19346;Aerin#c24295;Aerin#c16170;Aerin#c13675;Aerin#c22914;Aerin#c14860;Aerin#c21464;Aerin#c16591;Aerin#c21661;Aerin#c17345;Aerin#c19647;Aerin#c16906;Aerin#c5817;Aerin#c20193;Aerin#c9015;Aerin#c12825;Aerin#c16830;Aerin#c25480;Aerin#c13715;Aerin#c25488;Aerin#c13088;Aerin#c20611;Aerin#c14877;Aerin#c21474;Aerin#c21677;Aerin#c6605;Aerin#c19501;Aerin#c17359;Aerin#c14619;Aerin#c8044;Aerin#c19699;Aerin#c18613;Aerin#c21274;Aerin#c13279;Aerin#c10746;Aerin#c15911;Aerin#c25387;Aerin#c20516;Aerin#c12059;Aerin#c12582;Aerin#c26434;Aerin#c21707;Aerin#c23880;Aerin#c16240;Aerin#c19114;Aerin#c17605;Aerin#c19687;Aerin#c12803;Aerin#c16814
GO:0043043	peptide biosynthetic process	127	1966	201	14463	1.523539481335547e-60	6.59399400351e-58	Aerin#c21739;Aerin#c13850;Aerin#c15111;Aerin#c23711;Aerin#c10954;Aerin#c16486;Aerin#c26092;Aerin#c19763;Aerin#c19561;Aerin#c21254;Aerin#c20498;Aerin#c20664;Aerin#c22394;Aerin#c22652;Aerin#c22097;Aerin#c15308;Aerin#c19958;Aerin#c17539;Aerin#c25283;Aerin#c22433;Aerin#c14920;Aerin#c20652;Aerin#c8449;Aerin#c15788;Aerin#c23450;Aerin#c15227;Aerin#c17826;Aerin#c20122;Aerin#c20123;Aerin#c19893;Aerin#c23024;Aerin#c16068;Aerin#c23849;Aerin#c25071;Aerin#c15799;Aerin#c18543;Aerin#c17108;Aerin#c12971;Aerin#c24734;Aerin#c22452;Aerin#c18938;Aerin#c23856;Aerin#c12197;Aerin#c15635;Aerin#c22325;Aerin#c16992;Aerin#c19182;Aerin#c24059;Aerin#c24478;Aerin#c13610;Aerin#c26355;Aerin#c26356;Aerin#c22059;Aerin#c18919;Aerin#c21569;Aerin#c190;Aerin#c23368;Aerin#c20787;Aerin#c23795;Aerin#c18011;Aerin#c18010;Aerin#c18610;Aerin#c21786;Aerin#c23214;Aerin#c19210;Aerin#c12652;Aerin#c20793;Aerin#c10811;Aerin#c19286;Aerin#c17923;Aerin#c22497;Aerin#c14162;Aerin#c14011;Aerin#c13133;Aerin#c20542;Aerin#c21541;Aerin#c17159;Aerin#c14388;Aerin#c23170;Aerin#c19676;Aerin#c19815;Aerin#c17625;Aerin#c17626;Aerin#c19250;Aerin#c21236;Aerin#c20326;Aerin#c10709;Aerin#c23229;Aerin#c12525;Aerin#c17090;Aerin#c21933;Aerin#c22019;Aerin#c21845;Aerin#c19069;Aerin#c19937;Aerin#c19936;Aerin#c12308;Aerin#c24423;Aerin#c18757;Aerin#c22906;Aerin#c12601;Aerin#c21325;Aerin#c24295;Aerin#c16170;Aerin#c13675;Aerin#c21464;Aerin#c21661;Aerin#c5817;Aerin#c16830;Aerin#c25480;Aerin#c13715;Aerin#c20611;Aerin#c14877;Aerin#c21677;Aerin#c6605;Aerin#c8044;Aerin#c19699;Aerin#c18613;Aerin#c21274;Aerin#c10746;Aerin#c25387;Aerin#c20516;Aerin#c12059;Aerin#c12582;Aerin#c21707;Aerin#c17605;Aerin#c16814
GO:0044435	plastid part	145	1966	255	14463	1.683214806257386e-60	6.59399400351e-58	Aerin#c4126;Aerin#c21739;Aerin#c25601;Aerin#c8800;Aerin#c17333;Aerin#c20072;Aerin#c23669;Aerin#c21253;Aerin#c11546;Aerin#c22394;Aerin#c22090;Aerin#c26080;Aerin#c18806;Aerin#c11371;Aerin#c10154;Aerin#c18134;Aerin#c13332;Aerin#c25449;Aerin#c17225;Aerin#c15096;Aerin#c24823;Aerin#c22083;Aerin#c18077;Aerin#c23116;Aerin#c23024;Aerin#c22510;Aerin#c17270;Aerin#c20644;Aerin#c20735;Aerin#c20002;Aerin#c3118;Aerin#c20648;Aerin#c22187;Aerin#c14232;Aerin#c22452;Aerin#c16690;Aerin#c25869;Aerin#c22520;Aerin#c20359;Aerin#c1405;Aerin#c17190;Aerin#c16992;Aerin#c4043;Aerin#c21921;Aerin#c19636;Aerin#c19632;Aerin#c20219;Aerin#c10120;Aerin#c11435;Aerin#c22535;Aerin#c933;Aerin#c13610;Aerin#c14759;Aerin#c18483;Aerin#c21155;Aerin#c15430;Aerin#c11861;Aerin#c16189;Aerin#c21569;Aerin#c12733;Aerin#c17284;Aerin#c21894;Aerin#c6248;Aerin#c8822;Aerin#c21360;Aerin#c18471;Aerin#c15995;Aerin#c18011;Aerin#c25335;Aerin#c11709;Aerin#c22222;Aerin#c19516;Aerin#c14556;Aerin#c22497;Aerin#c15988;Aerin#c18395;Aerin#c18649;Aerin#c17440;Aerin#c11660;Aerin#c25758;Aerin#c25757;Aerin#c1118;Aerin#c6862;Aerin#c19250;Aerin#c23229;Aerin#c22019;Aerin#c15147;Aerin#c15924;Aerin#c7650;Aerin#c5766;Aerin#c18757;Aerin#c25171;Aerin#c12264;Aerin#c21922;Aerin#c22267;Aerin#c14457;Aerin#c18927;Aerin#c19904;Aerin#c14908;Aerin#c21107;Aerin#c25764;Aerin#c11475;Aerin#c16591;Aerin#c21661;Aerin#c9127;Aerin#c16763;Aerin#c16617;Aerin#c2936;Aerin#c11240;Aerin#c18198;Aerin#c24622;Aerin#c21260;Aerin#c5567;Aerin#c17985;Aerin#c15833;Aerin#c10665;Aerin#c9873;Aerin#c22927;Aerin#c14611;Aerin#c21663;Aerin#c7393;Aerin#c19101;Aerin#c11239;Aerin#c21278;Aerin#c15347;Aerin#c4394;Aerin#c25561;Aerin#c16114;Aerin#c13348;Aerin#c13052;Aerin#c26435;Aerin#c12298;Aerin#c23880;Aerin#c16337;Aerin#c1726;Aerin#c16243;Aerin#c26136;Aerin#c23468;Aerin#c15991;Aerin#c3393;Aerin#c7164;Aerin#c11221;Aerin#c24976;Aerin#c3069;Aerin#c19370
GO:0043603	cellular amide metabolic process	148	1966	266	14463	4.860094264476754e-60	1.69239282499e-57	Aerin#c21739;Aerin#c13850;Aerin#c15111;Aerin#c23711;Aerin#c19161;Aerin#c10954;Aerin#c16486;Aerin#c26092;Aerin#c19763;Aerin#c19561;Aerin#c21254;Aerin#c20498;Aerin#c16132;Aerin#c20664;Aerin#c22394;Aerin#c22652;Aerin#c22097;Aerin#c15308;Aerin#c19958;Aerin#c17539;Aerin#c25283;Aerin#c22433;Aerin#c14920;Aerin#c20652;Aerin#c8449;Aerin#c15788;Aerin#c21529;Aerin#c23450;Aerin#c15227;Aerin#c17826;Aerin#c14324;Aerin#c20122;Aerin#c20123;Aerin#c19893;Aerin#c22460;Aerin#c23024;Aerin#c16068;Aerin#c23849;Aerin#c25071;Aerin#c15799;Aerin#c12163;Aerin#c18543;Aerin#c17108;Aerin#c12971;Aerin#c24734;Aerin#c22452;Aerin#c18938;Aerin#c13559;Aerin#c23856;Aerin#c12197;Aerin#c16215;Aerin#c15635;Aerin#c22325;Aerin#c16992;Aerin#c19182;Aerin#c24059;Aerin#c24478;Aerin#c13610;Aerin#c26355;Aerin#c26356;Aerin#c22059;Aerin#c18919;Aerin#c11861;Aerin#c21569;Aerin#c190;Aerin#c23368;Aerin#c20787;Aerin#c23795;Aerin#c18494;Aerin#c18011;Aerin#c18010;Aerin#c18610;Aerin#c21786;Aerin#c23214;Aerin#c24259;Aerin#c19210;Aerin#c12652;Aerin#c20793;Aerin#c10811;Aerin#c19286;Aerin#c17923;Aerin#c22497;Aerin#c14162;Aerin#c16941;Aerin#c14011;Aerin#c13133;Aerin#c20542;Aerin#c21541;Aerin#c17159;Aerin#c2036;Aerin#c14388;Aerin#c19079;Aerin#c23170;Aerin#c19676;Aerin#c19815;Aerin#c17625;Aerin#c17626;Aerin#c19250;Aerin#c21236;Aerin#c20326;Aerin#c10709;Aerin#c23229;Aerin#c12525;Aerin#c17090;Aerin#c21933;Aerin#c17364;Aerin#c22019;Aerin#c21845;Aerin#c19069;Aerin#c19937;Aerin#c19936;Aerin#c12308;Aerin#c24423;Aerin#c18757;Aerin#c22906;Aerin#c12601;Aerin#c13590;Aerin#c21325;Aerin#c19346;Aerin#c24295;Aerin#c16170;Aerin#c13675;Aerin#c11475;Aerin#c21464;Aerin#c21661;Aerin#c17188;Aerin#c5817;Aerin#c16830;Aerin#c25480;Aerin#c13715;Aerin#c20611;Aerin#c14877;Aerin#c21677;Aerin#c17191;Aerin#c6605;Aerin#c8044;Aerin#c19699;Aerin#c18613;Aerin#c21274;Aerin#c10746;Aerin#c25387;Aerin#c20516;Aerin#c12059;Aerin#c12582;Aerin#c21707;Aerin#c19114;Aerin#c17605;Aerin#c16814
GO:0044434	chloroplast part	139	1966	243	14463	1.9027807634921265e-58	5.96331491278e-56	Aerin#c25601;Aerin#c8800;Aerin#c17333;Aerin#c20072;Aerin#c23669;Aerin#c21253;Aerin#c11546;Aerin#c22394;Aerin#c22090;Aerin#c26080;Aerin#c18806;Aerin#c11371;Aerin#c10154;Aerin#c18134;Aerin#c13332;Aerin#c25449;Aerin#c17225;Aerin#c15096;Aerin#c24823;Aerin#c22083;Aerin#c18077;Aerin#c23116;Aerin#c23024;Aerin#c22510;Aerin#c17270;Aerin#c20644;Aerin#c20735;Aerin#c20002;Aerin#c3118;Aerin#c20648;Aerin#c22187;Aerin#c14232;Aerin#c16690;Aerin#c25869;Aerin#c22520;Aerin#c20359;Aerin#c1405;Aerin#c17190;Aerin#c16992;Aerin#c4043;Aerin#c21921;Aerin#c19636;Aerin#c19632;Aerin#c20219;Aerin#c10120;Aerin#c11435;Aerin#c22535;Aerin#c933;Aerin#c13610;Aerin#c14759;Aerin#c18483;Aerin#c21155;Aerin#c15430;Aerin#c11861;Aerin#c16189;Aerin#c21569;Aerin#c12733;Aerin#c17284;Aerin#c21894;Aerin#c6248;Aerin#c8822;Aerin#c21360;Aerin#c18471;Aerin#c15995;Aerin#c18011;Aerin#c25335;Aerin#c11709;Aerin#c22222;Aerin#c19516;Aerin#c14556;Aerin#c22497;Aerin#c15988;Aerin#c18395;Aerin#c18649;Aerin#c17440;Aerin#c11660;Aerin#c25758;Aerin#c25757;Aerin#c1118;Aerin#c6862;Aerin#c19250;Aerin#c23229;Aerin#c22019;Aerin#c15147;Aerin#c15924;Aerin#c7650;Aerin#c5766;Aerin#c18757;Aerin#c25171;Aerin#c12264;Aerin#c21922;Aerin#c22267;Aerin#c14457;Aerin#c18927;Aerin#c19904;Aerin#c14908;Aerin#c21107;Aerin#c25764;Aerin#c11475;Aerin#c16591;Aerin#c21661;Aerin#c9127;Aerin#c16763;Aerin#c16617;Aerin#c2936;Aerin#c11240;Aerin#c18198;Aerin#c24622;Aerin#c21260;Aerin#c17985;Aerin#c15833;Aerin#c10665;Aerin#c9873;Aerin#c22927;Aerin#c14611;Aerin#c21663;Aerin#c7393;Aerin#c19101;Aerin#c11239;Aerin#c21278;Aerin#c15347;Aerin#c25561;Aerin#c16114;Aerin#c13348;Aerin#c13052;Aerin#c26435;Aerin#c23880;Aerin#c16337;Aerin#c1726;Aerin#c16243;Aerin#c26136;Aerin#c23468;Aerin#c15991;Aerin#c3393;Aerin#c7164;Aerin#c11221;Aerin#c24976;Aerin#c3069;Aerin#c19370
