annotid	AnnotDesc	Interesting_genes_with_this_annotid	Interesting_genes_with_any_annotation	BG_with_annotid	BG_with_any_annotation	pvalue	p_adj_BH	Interesting_gene_ids
GO:0005840	ribosome	111	1400	155	11465	4.369940624328353e-67	1.18206893888e-63	Aimbr#c9678;Aimbr#c11437;Aimbr#c16700;Aimbr#c6686;Aimbr#c12671;Aimbr#c7228;Aimbr#c9928;Aimbr#c16739;Aimbr#c9494;Aimbr#c13552;Aimbr#c11965;Aimbr#c16653;Aimbr#c16384;Aimbr#c16256;Aimbr#c11635;Aimbr#c13124;Aimbr#c12726;Aimbr#c16722;Aimbr#c11387;Aimbr#c8156;Aimbr#c12055;Aimbr#c15719;Aimbr#c13945;Aimbr#c12832;Aimbr#c18140;Aimbr#c11973;Aimbr#c12534;Aimbr#c11872;Aimbr#c17395;Aimbr#c10624;Aimbr#c7926;Aimbr#c14058;Aimbr#c16290;Aimbr#c10636;Aimbr#c11768;Aimbr#c13212;Aimbr#c13213;Aimbr#c9545;Aimbr#c14021;Aimbr#c10359;Aimbr#c16173;Aimbr#c14101;Aimbr#c7909;Aimbr#c16980;Aimbr#c17108;Aimbr#c17745;Aimbr#c13054;Aimbr#c15669;Aimbr#c13301;Aimbr#c10904;Aimbr#c15339;Aimbr#c14552;Aimbr#c12890;Aimbr#c13043;Aimbr#c12408;Aimbr#c10930;Aimbr#c10931;Aimbr#c13312;Aimbr#c14636;Aimbr#c7564;Aimbr#c9880;Aimbr#c13671;Aimbr#c15048;Aimbr#c12122;Aimbr#c13410;Aimbr#c13419;Aimbr#c17578;Aimbr#c8436;Aimbr#c13331;Aimbr#c11240;Aimbr#c9672;Aimbr#c11654;Aimbr#c14518;Aimbr#c7661;Aimbr#c7284;Aimbr#c17081;Aimbr#c16686;Aimbr#c12355;Aimbr#c16680;Aimbr#c8865;Aimbr#c11489;Aimbr#c15814;Aimbr#c15908;Aimbr#c8676;Aimbr#c11461;Aimbr#c9618;Aimbr#c7458;Aimbr#c6584;Aimbr#c12915;Aimbr#c10503;Aimbr#c13181;Aimbr#c13744;Aimbr#c11074;Aimbr#c16074;Aimbr#c12160;Aimbr#c13562;Aimbr#c11848;Aimbr#c12761;Aimbr#c13751;Aimbr#c13758;Aimbr#c17998;Aimbr#c8279;Aimbr#c17591;Aimbr#c13285;Aimbr#c9809;Aimbr#c8508;Aimbr#c14523;Aimbr#c14419;Aimbr#c15439;Aimbr#c17509;Aimbr#c12713
GO:0003735	structural constituent of ribosome	117	1400	174	11465	7.822805508821467e-66	1.05803444507e-62	Aimbr#c9678;Aimbr#c11437;Aimbr#c16700;Aimbr#c12671;Aimbr#c9928;Aimbr#c9038;Aimbr#c16739;Aimbr#c9494;Aimbr#c13552;Aimbr#c11897;Aimbr#c11965;Aimbr#c16653;Aimbr#c16384;Aimbr#c16256;Aimbr#c11635;Aimbr#c13124;Aimbr#c12726;Aimbr#c16722;Aimbr#c11387;Aimbr#c12055;Aimbr#c15719;Aimbr#c13945;Aimbr#c12832;Aimbr#c18140;Aimbr#c11973;Aimbr#c12534;Aimbr#c11872;Aimbr#c17395;Aimbr#c10624;Aimbr#c10976;Aimbr#c7926;Aimbr#c14058;Aimbr#c13727;Aimbr#c16290;Aimbr#c10636;Aimbr#c11768;Aimbr#c13212;Aimbr#c13213;Aimbr#c11214;Aimbr#c9545;Aimbr#c14021;Aimbr#c10359;Aimbr#c16173;Aimbr#c17917;Aimbr#c14101;Aimbr#c7909;Aimbr#c16980;Aimbr#c17108;Aimbr#c17745;Aimbr#c13054;Aimbr#c15669;Aimbr#c13301;Aimbr#c10904;Aimbr#c15339;Aimbr#c14552;Aimbr#c12890;Aimbr#c13043;Aimbr#c12408;Aimbr#c10930;Aimbr#c10931;Aimbr#c13312;Aimbr#c14636;Aimbr#c7564;Aimbr#c9880;Aimbr#c13671;Aimbr#c12122;Aimbr#c13410;Aimbr#c13419;Aimbr#c17578;Aimbr#c16317;Aimbr#c13249;Aimbr#c8436;Aimbr#c11029;Aimbr#c13331;Aimbr#c11240;Aimbr#c9672;Aimbr#c11654;Aimbr#c14518;Aimbr#c7661;Aimbr#c7284;Aimbr#c17081;Aimbr#c16686;Aimbr#c12355;Aimbr#c16680;Aimbr#c8865;Aimbr#c11489;Aimbr#c15908;Aimbr#c8676;Aimbr#c11461;Aimbr#c9618;Aimbr#c7458;Aimbr#c6584;Aimbr#c12915;Aimbr#c10503;Aimbr#c13181;Aimbr#c13744;Aimbr#c11074;Aimbr#c16074;Aimbr#c13248;Aimbr#c12160;Aimbr#c10856;Aimbr#c13562;Aimbr#c11848;Aimbr#c12761;Aimbr#c13751;Aimbr#c13758;Aimbr#c17998;Aimbr#c8279;Aimbr#c17591;Aimbr#c13285;Aimbr#c8508;Aimbr#c14523;Aimbr#c14419;Aimbr#c15439;Aimbr#c8996;Aimbr#c17509;Aimbr#c12713
GO:0005198	structural molecule activity	131	1400	222	11465	1.8990144004041826e-63	1.71227798436e-60	Aimbr#c9678;Aimbr#c11437;Aimbr#c16700;Aimbr#c12143;Aimbr#c7403;Aimbr#c12671;Aimbr#c9928;Aimbr#c9038;Aimbr#c16739;Aimbr#c9494;Aimbr#c13552;Aimbr#c11897;Aimbr#c11965;Aimbr#c16653;Aimbr#c16384;Aimbr#c16256;Aimbr#c11635;Aimbr#c13124;Aimbr#c12726;Aimbr#c16722;Aimbr#c11387;Aimbr#c12055;Aimbr#c15719;Aimbr#c13945;Aimbr#c10162;Aimbr#c12832;Aimbr#c18140;Aimbr#c11973;Aimbr#c12534;Aimbr#c11872;Aimbr#c17395;Aimbr#c10624;Aimbr#c10976;Aimbr#c7926;Aimbr#c14058;Aimbr#c13727;Aimbr#c16290;Aimbr#c10636;Aimbr#c11768;Aimbr#c13212;Aimbr#c13213;Aimbr#c11214;Aimbr#c9545;Aimbr#c14021;Aimbr#c8967;Aimbr#c10359;Aimbr#c16173;Aimbr#c17917;Aimbr#c14101;Aimbr#c7909;Aimbr#c16980;Aimbr#c17108;Aimbr#c17745;Aimbr#c13054;Aimbr#c17692;Aimbr#c15669;Aimbr#c12090;Aimbr#c13301;Aimbr#c10904;Aimbr#c15339;Aimbr#c14552;Aimbr#c12890;Aimbr#c13043;Aimbr#c12408;Aimbr#c8128;Aimbr#c10930;Aimbr#c10931;Aimbr#c13312;Aimbr#c14636;Aimbr#c7564;Aimbr#c9880;Aimbr#c13671;Aimbr#c12122;Aimbr#c13410;Aimbr#c13419;Aimbr#c17578;Aimbr#c10446;Aimbr#c16317;Aimbr#c16425;Aimbr#c13249;Aimbr#c8436;Aimbr#c11029;Aimbr#c7828;Aimbr#c13331;Aimbr#c11240;Aimbr#c9672;Aimbr#c11654;Aimbr#c14518;Aimbr#c7661;Aimbr#c7284;Aimbr#c17081;Aimbr#c16688;Aimbr#c16686;Aimbr#c12355;Aimbr#c16680;Aimbr#c8865;Aimbr#c11489;Aimbr#c15908;Aimbr#c8676;Aimbr#c11461;Aimbr#c9618;Aimbr#c7458;Aimbr#c6584;Aimbr#c12915;Aimbr#c10503;Aimbr#c13181;Aimbr#c13744;Aimbr#c11074;Aimbr#c16074;Aimbr#c13248;Aimbr#c12160;Aimbr#c9445;Aimbr#c10856;Aimbr#c13562;Aimbr#c11848;Aimbr#c9902;Aimbr#c12761;Aimbr#c13751;Aimbr#c13758;Aimbr#c17998;Aimbr#c8279;Aimbr#c17591;Aimbr#c13285;Aimbr#c8508;Aimbr#c16907;Aimbr#c14523;Aimbr#c14419;Aimbr#c15439;Aimbr#c8996;Aimbr#c17509;Aimbr#c12713
GO:0006412	translation	114	1400	181	11465	1.5768330866232992e-59	1.06633337483e-56	Aimbr#c9678;Aimbr#c11437;Aimbr#c16700;Aimbr#c12671;Aimbr#c7228;Aimbr#c9928;Aimbr#c9038;Aimbr#c16739;Aimbr#c9494;Aimbr#c13552;Aimbr#c11965;Aimbr#c16653;Aimbr#c16384;Aimbr#c16256;Aimbr#c11635;Aimbr#c13124;Aimbr#c12726;Aimbr#c11387;Aimbr#c12055;Aimbr#c15719;Aimbr#c13945;Aimbr#c12832;Aimbr#c18140;Aimbr#c11973;Aimbr#c12534;Aimbr#c11872;Aimbr#c17395;Aimbr#c10624;Aimbr#c11571;Aimbr#c7926;Aimbr#c14058;Aimbr#c13727;Aimbr#c16290;Aimbr#c10636;Aimbr#c11768;Aimbr#c13212;Aimbr#c13213;Aimbr#c11214;Aimbr#c9545;Aimbr#c14021;Aimbr#c10359;Aimbr#c16173;Aimbr#c17917;Aimbr#c14101;Aimbr#c7909;Aimbr#c16980;Aimbr#c17108;Aimbr#c17745;Aimbr#c13054;Aimbr#c15669;Aimbr#c13301;Aimbr#c10904;Aimbr#c15339;Aimbr#c14552;Aimbr#c12890;Aimbr#c13043;Aimbr#c12408;Aimbr#c10930;Aimbr#c10931;Aimbr#c13312;Aimbr#c14636;Aimbr#c7564;Aimbr#c10065;Aimbr#c9880;Aimbr#c13671;Aimbr#c12122;Aimbr#c13410;Aimbr#c13419;Aimbr#c17578;Aimbr#c16317;Aimbr#c13249;Aimbr#c8436;Aimbr#c11029;Aimbr#c13331;Aimbr#c11240;Aimbr#c9672;Aimbr#c11654;Aimbr#c14518;Aimbr#c7661;Aimbr#c7284;Aimbr#c17081;Aimbr#c16686;Aimbr#c12355;Aimbr#c16680;Aimbr#c8865;Aimbr#c11489;Aimbr#c15908;Aimbr#c8676;Aimbr#c11461;Aimbr#c9618;Aimbr#c7458;Aimbr#c6584;Aimbr#c12915;Aimbr#c10503;Aimbr#c13181;Aimbr#c13744;Aimbr#c11074;Aimbr#c16074;Aimbr#c12160;Aimbr#c13562;Aimbr#c11848;Aimbr#c12761;Aimbr#c13758;Aimbr#c17998;Aimbr#c8279;Aimbr#c17591;Aimbr#c13285;Aimbr#c8508;Aimbr#c14523;Aimbr#c14419;Aimbr#c15439;Aimbr#c8996;Aimbr#c17509;Aimbr#c12713
GO:0043043	peptide biosynthetic process	114	1400	187	11465	2.4721996566974724e-57	1.33746001427e-54	Aimbr#c9678;Aimbr#c11437;Aimbr#c16700;Aimbr#c12671;Aimbr#c7228;Aimbr#c9928;Aimbr#c9038;Aimbr#c16739;Aimbr#c9494;Aimbr#c13552;Aimbr#c11965;Aimbr#c16653;Aimbr#c16384;Aimbr#c16256;Aimbr#c11635;Aimbr#c13124;Aimbr#c12726;Aimbr#c11387;Aimbr#c12055;Aimbr#c15719;Aimbr#c13945;Aimbr#c12832;Aimbr#c18140;Aimbr#c11973;Aimbr#c12534;Aimbr#c11872;Aimbr#c17395;Aimbr#c10624;Aimbr#c11571;Aimbr#c7926;Aimbr#c14058;Aimbr#c13727;Aimbr#c16290;Aimbr#c10636;Aimbr#c11768;Aimbr#c13212;Aimbr#c13213;Aimbr#c11214;Aimbr#c9545;Aimbr#c14021;Aimbr#c10359;Aimbr#c16173;Aimbr#c17917;Aimbr#c14101;Aimbr#c7909;Aimbr#c16980;Aimbr#c17108;Aimbr#c17745;Aimbr#c13054;Aimbr#c15669;Aimbr#c13301;Aimbr#c10904;Aimbr#c15339;Aimbr#c14552;Aimbr#c12890;Aimbr#c13043;Aimbr#c12408;Aimbr#c10930;Aimbr#c10931;Aimbr#c13312;Aimbr#c14636;Aimbr#c7564;Aimbr#c10065;Aimbr#c9880;Aimbr#c13671;Aimbr#c12122;Aimbr#c13410;Aimbr#c13419;Aimbr#c17578;Aimbr#c16317;Aimbr#c13249;Aimbr#c8436;Aimbr#c11029;Aimbr#c13331;Aimbr#c11240;Aimbr#c9672;Aimbr#c11654;Aimbr#c14518;Aimbr#c7661;Aimbr#c7284;Aimbr#c17081;Aimbr#c16686;Aimbr#c12355;Aimbr#c16680;Aimbr#c8865;Aimbr#c11489;Aimbr#c15908;Aimbr#c8676;Aimbr#c11461;Aimbr#c9618;Aimbr#c7458;Aimbr#c6584;Aimbr#c12915;Aimbr#c10503;Aimbr#c13181;Aimbr#c13744;Aimbr#c11074;Aimbr#c16074;Aimbr#c12160;Aimbr#c13562;Aimbr#c11848;Aimbr#c12761;Aimbr#c13758;Aimbr#c17998;Aimbr#c8279;Aimbr#c17591;Aimbr#c13285;Aimbr#c8508;Aimbr#c14523;Aimbr#c14419;Aimbr#c15439;Aimbr#c8996;Aimbr#c17509;Aimbr#c12713
GO:1901566	organonitrogen compound biosynthetic process	194	1400	486	11465	3.410683479373415e-57	1.53764980195e-54	Aimbr#c11059;Aimbr#c9678;Aimbr#c11437;Aimbr#c16700;Aimbr#c12671;Aimbr#c7228;Aimbr#c9928;Aimbr#c10554;Aimbr#c9813;Aimbr#c9038;Aimbr#c11136;Aimbr#c11130;Aimbr#c16739;Aimbr#c12224;Aimbr#c9494;Aimbr#c12950;Aimbr#c10891;Aimbr#c13552;Aimbr#c11965;Aimbr#c2312;Aimbr#c16653;Aimbr#c16384;Aimbr#c16256;Aimbr#c8335;Aimbr#c11635;Aimbr#c13124;Aimbr#c12726;Aimbr#c11638;Aimbr#c11148;Aimbr#c11387;Aimbr#c14718;Aimbr#c8153;Aimbr#c11567;Aimbr#c12055;Aimbr#c15719;Aimbr#c13945;Aimbr#c7339;Aimbr#c12832;Aimbr#c11886;Aimbr#c18140;Aimbr#c11973;Aimbr#c12534;Aimbr#c11872;Aimbr#c17395;Aimbr#c11104;Aimbr#c10624;Aimbr#c8781;Aimbr#c9304;Aimbr#c11571;Aimbr#c13957;Aimbr#c7926;Aimbr#c7214;Aimbr#c14058;Aimbr#c13463;Aimbr#c10360;Aimbr#c18354;Aimbr#c13727;Aimbr#c12669;Aimbr#c17018;Aimbr#c17017;Aimbr#c16290;Aimbr#c10636;Aimbr#c10631;Aimbr#c11167;Aimbr#c11364;Aimbr#c11768;Aimbr#c13212;Aimbr#c13213;Aimbr#c13609;Aimbr#c11214;Aimbr#c9545;Aimbr#c14021;Aimbr#c10359;Aimbr#c17227;Aimbr#c17226;Aimbr#c8569;Aimbr#c16173;Aimbr#c17917;Aimbr#c8362;Aimbr#c9305;Aimbr#c14101;Aimbr#c10139;Aimbr#c7909;Aimbr#c16980;Aimbr#c17108;Aimbr#c17745;Aimbr#c13054;Aimbr#c11047;Aimbr#c15669;Aimbr#c8111;Aimbr#c12257;Aimbr#c13301;Aimbr#c10904;Aimbr#c6993;Aimbr#c15339;Aimbr#c10124;Aimbr#c14552;Aimbr#c15578;Aimbr#c7377;Aimbr#c3270;Aimbr#c12896;Aimbr#c12890;Aimbr#c13043;Aimbr#c10792;Aimbr#c10797;Aimbr#c12408;Aimbr#c10930;Aimbr#c10931;Aimbr#c13312;Aimbr#c14636;Aimbr#c15233;Aimbr#c14941;Aimbr#c14940;Aimbr#c7564;Aimbr#c14122;Aimbr#c8143;Aimbr#c7491;Aimbr#c10065;Aimbr#c9880;Aimbr#c13671;Aimbr#c9401;Aimbr#c15048;Aimbr#c12122;Aimbr#c13410;Aimbr#c13419;Aimbr#c17578;Aimbr#c17312;Aimbr#c16317;Aimbr#c13249;Aimbr#c8436;Aimbr#c11029;Aimbr#c13331;Aimbr#c11240;Aimbr#c6945;Aimbr#c9672;Aimbr#c10300;Aimbr#c12296;Aimbr#c10698;Aimbr#c11654;Aimbr#c14518;Aimbr#c10052;Aimbr#c7661;Aimbr#c17777;Aimbr#c7284;Aimbr#c14224;Aimbr#c17081;Aimbr#c17882;Aimbr#c16686;Aimbr#c12355;Aimbr#c16680;Aimbr#c8865;Aimbr#c11489;Aimbr#c15814;Aimbr#c15908;Aimbr#c8676;Aimbr#c11461;Aimbr#c9618;Aimbr#c7458;Aimbr#c6584;Aimbr#c12915;Aimbr#c13634;Aimbr#c10503;Aimbr#c13181;Aimbr#c13744;Aimbr#c18222;Aimbr#c16450;Aimbr#c11074;Aimbr#c16074;Aimbr#c16582;Aimbr#c11295;Aimbr#c11103;Aimbr#c12160;Aimbr#c14531;Aimbr#c13562;Aimbr#c11848;Aimbr#c12761;Aimbr#c10539;Aimbr#c13758;Aimbr#c17998;Aimbr#c8279;Aimbr#c17591;Aimbr#c13285;Aimbr#c8508;Aimbr#c11826;Aimbr#c4832;Aimbr#c14523;Aimbr#c7505;Aimbr#c14419;Aimbr#c15439;Aimbr#c8996;Aimbr#c8992;Aimbr#c17509;Aimbr#c12713;Aimbr#c17615
GO:0043604	amide biosynthetic process	119	1400	210	11465	6.102535356952833e-55	2.35819402008e-52	Aimbr#c9678;Aimbr#c11437;Aimbr#c16700;Aimbr#c12671;Aimbr#c7228;Aimbr#c9928;Aimbr#c9038;Aimbr#c11136;Aimbr#c16739;Aimbr#c9494;Aimbr#c13552;Aimbr#c11965;Aimbr#c16653;Aimbr#c16384;Aimbr#c16256;Aimbr#c11635;Aimbr#c13124;Aimbr#c12726;Aimbr#c11387;Aimbr#c12055;Aimbr#c15719;Aimbr#c13945;Aimbr#c12832;Aimbr#c18140;Aimbr#c11973;Aimbr#c12534;Aimbr#c11872;Aimbr#c17395;Aimbr#c10624;Aimbr#c9304;Aimbr#c11571;Aimbr#c7926;Aimbr#c14058;Aimbr#c13727;Aimbr#c16290;Aimbr#c10636;Aimbr#c11768;Aimbr#c13212;Aimbr#c13213;Aimbr#c11214;Aimbr#c9545;Aimbr#c14021;Aimbr#c10359;Aimbr#c16173;Aimbr#c17917;Aimbr#c14101;Aimbr#c7909;Aimbr#c16980;Aimbr#c17108;Aimbr#c17745;Aimbr#c13054;Aimbr#c15669;Aimbr#c8111;Aimbr#c13301;Aimbr#c10904;Aimbr#c15339;Aimbr#c14552;Aimbr#c12890;Aimbr#c13043;Aimbr#c10792;Aimbr#c12408;Aimbr#c10930;Aimbr#c10931;Aimbr#c13312;Aimbr#c14636;Aimbr#c7564;Aimbr#c10065;Aimbr#c9880;Aimbr#c13671;Aimbr#c12122;Aimbr#c13410;Aimbr#c13419;Aimbr#c17578;Aimbr#c16317;Aimbr#c13249;Aimbr#c8436;Aimbr#c11029;Aimbr#c13331;Aimbr#c11240;Aimbr#c9672;Aimbr#c11654;Aimbr#c14518;Aimbr#c7661;Aimbr#c7284;Aimbr#c17081;Aimbr#c16686;Aimbr#c12355;Aimbr#c16680;Aimbr#c8865;Aimbr#c11489;Aimbr#c15908;Aimbr#c8676;Aimbr#c11461;Aimbr#c9618;Aimbr#c7458;Aimbr#c6584;Aimbr#c12915;Aimbr#c10503;Aimbr#c13181;Aimbr#c13744;Aimbr#c11074;Aimbr#c16074;Aimbr#c12160;Aimbr#c13562;Aimbr#c11848;Aimbr#c12761;Aimbr#c10539;Aimbr#c13758;Aimbr#c17998;Aimbr#c8279;Aimbr#c17591;Aimbr#c13285;Aimbr#c8508;Aimbr#c14523;Aimbr#c14419;Aimbr#c15439;Aimbr#c8996;Aimbr#c17509;Aimbr#c12713
GO:0006518	peptide metabolic process	118	1400	209	11465	3.039222491287929e-54	1.02763710487e-51	Aimbr#c9678;Aimbr#c11437;Aimbr#c16700;Aimbr#c12671;Aimbr#c7228;Aimbr#c9928;Aimbr#c10045;Aimbr#c9038;Aimbr#c16739;Aimbr#c9494;Aimbr#c13552;Aimbr#c11965;Aimbr#c16653;Aimbr#c16384;Aimbr#c16256;Aimbr#c11635;Aimbr#c13124;Aimbr#c12726;Aimbr#c11387;Aimbr#c12055;Aimbr#c15719;Aimbr#c13945;Aimbr#c12832;Aimbr#c18140;Aimbr#c11973;Aimbr#c12534;Aimbr#c11872;Aimbr#c17395;Aimbr#c10624;Aimbr#c11571;Aimbr#c7926;Aimbr#c14058;Aimbr#c13727;Aimbr#c16290;Aimbr#c10636;Aimbr#c11768;Aimbr#c13212;Aimbr#c13213;Aimbr#c15644;Aimbr#c11214;Aimbr#c9545;Aimbr#c14021;Aimbr#c10359;Aimbr#c16173;Aimbr#c17917;Aimbr#c14101;Aimbr#c7909;Aimbr#c16980;Aimbr#c17108;Aimbr#c17745;Aimbr#c13054;Aimbr#c15669;Aimbr#c13301;Aimbr#c10904;Aimbr#c15339;Aimbr#c14552;Aimbr#c12890;Aimbr#c13043;Aimbr#c12408;Aimbr#c10930;Aimbr#c10931;Aimbr#c13312;Aimbr#c14636;Aimbr#c7564;Aimbr#c10065;Aimbr#c9880;Aimbr#c13671;Aimbr#c12122;Aimbr#c13410;Aimbr#c13419;Aimbr#c17578;Aimbr#c16317;Aimbr#c13249;Aimbr#c8436;Aimbr#c11029;Aimbr#c13331;Aimbr#c13339;Aimbr#c11240;Aimbr#c9672;Aimbr#c11654;Aimbr#c14518;Aimbr#c7661;Aimbr#c7284;Aimbr#c17081;Aimbr#c16686;Aimbr#c12355;Aimbr#c16680;Aimbr#c8865;Aimbr#c11489;Aimbr#c15908;Aimbr#c8676;Aimbr#c11461;Aimbr#c9618;Aimbr#c7458;Aimbr#c6584;Aimbr#c12915;Aimbr#c10503;Aimbr#c13181;Aimbr#c13744;Aimbr#c11074;Aimbr#c16074;Aimbr#c12160;Aimbr#c13562;Aimbr#c11848;Aimbr#c12761;Aimbr#c13758;Aimbr#c17998;Aimbr#c8279;Aimbr#c17591;Aimbr#c13285;Aimbr#c11068;Aimbr#c8508;Aimbr#c14523;Aimbr#c14419;Aimbr#c15439;Aimbr#c8996;Aimbr#c17509;Aimbr#c12713
GO:0043603	cellular amide metabolic process	126	1400	247	11465	3.2103856864124437e-51	9.64899253527e-49	Aimbr#c9678;Aimbr#c11437;Aimbr#c16700;Aimbr#c12671;Aimbr#c7228;Aimbr#c9928;Aimbr#c10045;Aimbr#c9038;Aimbr#c11136;Aimbr#c16739;Aimbr#c9494;Aimbr#c13552;Aimbr#c11965;Aimbr#c16653;Aimbr#c16384;Aimbr#c16256;Aimbr#c11635;Aimbr#c13124;Aimbr#c12726;Aimbr#c11387;Aimbr#c11567;Aimbr#c12055;Aimbr#c15719;Aimbr#c13945;Aimbr#c12832;Aimbr#c18140;Aimbr#c11973;Aimbr#c12534;Aimbr#c11872;Aimbr#c17395;Aimbr#c10624;Aimbr#c9304;Aimbr#c11571;Aimbr#c7926;Aimbr#c14058;Aimbr#c13727;Aimbr#c16290;Aimbr#c10636;Aimbr#c11768;Aimbr#c13212;Aimbr#c13213;Aimbr#c11763;Aimbr#c15644;Aimbr#c11214;Aimbr#c9545;Aimbr#c14021;Aimbr#c10359;Aimbr#c16173;Aimbr#c17917;Aimbr#c14101;Aimbr#c7909;Aimbr#c16980;Aimbr#c17108;Aimbr#c17745;Aimbr#c13054;Aimbr#c15669;Aimbr#c8111;Aimbr#c13301;Aimbr#c10904;Aimbr#c15339;Aimbr#c14552;Aimbr#c12896;Aimbr#c12890;Aimbr#c13043;Aimbr#c10792;Aimbr#c12408;Aimbr#c10930;Aimbr#c10931;Aimbr#c13312;Aimbr#c14636;Aimbr#c7564;Aimbr#c10065;Aimbr#c9880;Aimbr#c13671;Aimbr#c12122;Aimbr#c13410;Aimbr#c13419;Aimbr#c17578;Aimbr#c16317;Aimbr#c13249;Aimbr#c8436;Aimbr#c11029;Aimbr#c13331;Aimbr#c13339;Aimbr#c11240;Aimbr#c9672;Aimbr#c11654;Aimbr#c14518;Aimbr#c7661;Aimbr#c7284;Aimbr#c17081;Aimbr#c16686;Aimbr#c12355;Aimbr#c16680;Aimbr#c8865;Aimbr#c11489;Aimbr#c15908;Aimbr#c8676;Aimbr#c11461;Aimbr#c9618;Aimbr#c7458;Aimbr#c6584;Aimbr#c12915;Aimbr#c10503;Aimbr#c13181;Aimbr#c13744;Aimbr#c11074;Aimbr#c16074;Aimbr#c12160;Aimbr#c13562;Aimbr#c11848;Aimbr#c12761;Aimbr#c10539;Aimbr#c13758;Aimbr#c17998;Aimbr#c8279;Aimbr#c17591;Aimbr#c13285;Aimbr#c11068;Aimbr#c8508;Aimbr#c14523;Aimbr#c14419;Aimbr#c15439;Aimbr#c8996;Aimbr#c17509;Aimbr#c12713
GO:0044434	chloroplast part	133	1400	288	11465	1.23910024718818e-47	3.35176616864e-45	Aimbr#c16406;Aimbr#c14914;Aimbr#c7407;Aimbr#c7228;Aimbr#c10045;Aimbr#c411;Aimbr#c9813;Aimbr#c5922;Aimbr#c3142;Aimbr#c11043;Aimbr#c5073;Aimbr#c14896;Aimbr#c9144;Aimbr#c15701;Aimbr#c12950;Aimbr#c8844;Aimbr#c18151;Aimbr#c16653;Aimbr#c16250;Aimbr#c16256;Aimbr#c17382;Aimbr#c8331;Aimbr#c16030;Aimbr#c11638;Aimbr#c9319;Aimbr#c1780;Aimbr#c15719;Aimbr#c7422;Aimbr#c12721;Aimbr#c17068;Aimbr#c17065;Aimbr#c11104;Aimbr#c15878;Aimbr#c9304;Aimbr#c16835;Aimbr#c14450;Aimbr#c14296;Aimbr#c10360;Aimbr#c18283;Aimbr#c17343;Aimbr#c10631;Aimbr#c11364;Aimbr#c13219;Aimbr#c15645;Aimbr#c15644;Aimbr#c6645;Aimbr#c2457;Aimbr#c9983;Aimbr#c16173;Aimbr#c9305;Aimbr#c13931;Aimbr#c10139;Aimbr#c15322;Aimbr#c8498;Aimbr#c7909;Aimbr#c10009;Aimbr#c17109;Aimbr#c17034;Aimbr#c13697;Aimbr#c17692;Aimbr#c17968;Aimbr#c12090;Aimbr#c5222;Aimbr#c8597;Aimbr#c6283;Aimbr#c2212;Aimbr#c477;Aimbr#c3270;Aimbr#c2611;Aimbr#c13687;Aimbr#c3908;Aimbr#c11681;Aimbr#c8291;Aimbr#c14636;Aimbr#c7560;Aimbr#c7819;Aimbr#c2045;Aimbr#c18003;Aimbr#c13678;Aimbr#c15048;Aimbr#c9248;Aimbr#c1652;Aimbr#c7609;Aimbr#c4119;Aimbr#c10264;Aimbr#c18016;Aimbr#c17578;Aimbr#c12424;Aimbr#c10446;Aimbr#c16317;Aimbr#c16425;Aimbr#c13339;Aimbr#c9259;Aimbr#c9414;Aimbr#c2240;Aimbr#c11908;Aimbr#c11905;Aimbr#c1910;Aimbr#c9121;Aimbr#c7440;Aimbr#c7539;Aimbr#c7284;Aimbr#c2907;Aimbr#c5361;Aimbr#c15900;Aimbr#c9277;Aimbr#c15908;Aimbr#c12008;Aimbr#c7458;Aimbr#c6584;Aimbr#c7524;Aimbr#c12177;Aimbr#c12774;Aimbr#c689;Aimbr#c12586;Aimbr#c11071;Aimbr#c16074;Aimbr#c11295;Aimbr#c8061;Aimbr#c6114;Aimbr#c3182;Aimbr#c17998;Aimbr#c13286;Aimbr#c9809;Aimbr#c9052;Aimbr#c9251;Aimbr#c15296;Aimbr#c14523;Aimbr#c16572;Aimbr#c10235;Aimbr#c8996;Aimbr#c10419;Aimbr#c5448
