annotid	AnnotDesc	Interesting_genes_with_this_annotid	Interesting_genes_with_any_annotation	BG_with_annotid	BG_with_any_annotation	pvalue	p_adj_BH	Interesting_gene_ids
GO:0005840	ribosome	114	1647	171	13434	4.302486039672355e-63	1.18963738997e-59	Ainca#c9551;Ainca#c16016;Ainca#c20820;Ainca#c15696;Ainca#c17879;Ainca#c17870;Ainca#c11054;Ainca#c20632;Ainca#c12163;Ainca#c11337;Ainca#c8564;Ainca#c15355;Ainca#c9106;Ainca#c20517;Ainca#c17132;Ainca#c11694;Ainca#c8358;Ainca#c17720;Ainca#c12598;Ainca#c19129;Ainca#c8510;Ainca#c13240;Ainca#c19052;Ainca#c19798;Ainca#c16110;Ainca#c12616;Ainca#c16845;Ainca#c17150;Ainca#c8509;Ainca#c21756;Ainca#c21755;Ainca#c18191;Ainca#c16284;Ainca#c11710;Ainca#c11905;Ainca#c16050;Ainca#c13526;Ainca#c8244;Ainca#c21026;Ainca#c12603;Ainca#c17237;Ainca#c17149;Ainca#c15368;Ainca#c10273;Ainca#c15389;Ainca#c10515;Ainca#c13290;Ainca#c15037;Ainca#c19495;Ainca#c7487;Ainca#c9433;Ainca#c19143;Ainca#c13653;Ainca#c17396;Ainca#c10467;Ainca#c9389;Ainca#c15738;Ainca#c15732;Ainca#c13896;Ainca#c12252;Ainca#c17549;Ainca#c14233;Ainca#c11621;Ainca#c19635;Ainca#c20941;Ainca#c8855;Ainca#c10064;Ainca#c13679;Ainca#c14136;Ainca#c9679;Ainca#c16403;Ainca#c18734;Ainca#c10017;Ainca#c17365;Ainca#c20206;Ainca#c15529;Ainca#c15452;Ainca#c17646;Ainca#c9181;Ainca#c4814;Ainca#c19193;Ainca#c15888;Ainca#c13855;Ainca#c8630;Ainca#c9469;Ainca#c21083;Ainca#c8931;Ainca#c10591;Ainca#c18346;Ainca#c21508;Ainca#c11767;Ainca#c8485;Ainca#c10117;Ainca#c17488;Ainca#c10203;Ainca#c15404;Ainca#c17665;Ainca#c11791;Ainca#c17800;Ainca#c14867;Ainca#c17324;Ainca#c14677;Ainca#c10304;Ainca#c11786;Ainca#c19782;Ainca#c4736;Ainca#c11954;Ainca#c12030;Ainca#c18010;Ainca#c8132;Ainca#c21442;Ainca#c15425;Ainca#c14248;Ainca#c15336
GO:0003735	structural constituent of ribosome	119	1647	193	13434	3.449984345881931e-60	4.76960335818e-57	Ainca#c9551;Ainca#c16016;Ainca#c20820;Ainca#c17061;Ainca#c15696;Ainca#c17879;Ainca#c17870;Ainca#c11054;Ainca#c20632;Ainca#c12163;Ainca#c11337;Ainca#c8564;Ainca#c15355;Ainca#c9106;Ainca#c20517;Ainca#c17132;Ainca#c11694;Ainca#c10855;Ainca#c17720;Ainca#c12598;Ainca#c19129;Ainca#c8510;Ainca#c13240;Ainca#c19052;Ainca#c19798;Ainca#c16110;Ainca#c12616;Ainca#c17533;Ainca#c16845;Ainca#c15979;Ainca#c17150;Ainca#c8509;Ainca#c21756;Ainca#c21755;Ainca#c18191;Ainca#c16284;Ainca#c11710;Ainca#c11905;Ainca#c16050;Ainca#c13526;Ainca#c8244;Ainca#c21026;Ainca#c12603;Ainca#c17237;Ainca#c17149;Ainca#c15368;Ainca#c10273;Ainca#c15389;Ainca#c10515;Ainca#c13290;Ainca#c15037;Ainca#c12280;Ainca#c19495;Ainca#c7487;Ainca#c9433;Ainca#c13653;Ainca#c17396;Ainca#c10467;Ainca#c9389;Ainca#c15738;Ainca#c15732;Ainca#c13896;Ainca#c12252;Ainca#c17549;Ainca#c14233;Ainca#c11621;Ainca#c19635;Ainca#c20941;Ainca#c10064;Ainca#c13679;Ainca#c14136;Ainca#c9679;Ainca#c16403;Ainca#c18734;Ainca#c13905;Ainca#c10017;Ainca#c17365;Ainca#c20206;Ainca#c15529;Ainca#c15452;Ainca#c13590;Ainca#c14731;Ainca#c17646;Ainca#c9181;Ainca#c4814;Ainca#c19193;Ainca#c13855;Ainca#c8630;Ainca#c9469;Ainca#c21083;Ainca#c10591;Ainca#c18346;Ainca#c21508;Ainca#c11767;Ainca#c8485;Ainca#c10117;Ainca#c18823;Ainca#c17488;Ainca#c10203;Ainca#c17791;Ainca#c15404;Ainca#c17665;Ainca#c11791;Ainca#c17800;Ainca#c14867;Ainca#c17324;Ainca#c16811;Ainca#c14677;Ainca#c11786;Ainca#c19782;Ainca#c4736;Ainca#c11954;Ainca#c12030;Ainca#c18010;Ainca#c8132;Ainca#c21442;Ainca#c15425;Ainca#c14248;Ainca#c15336
GO:0005198	structural molecule activity	128	1647	241	13434	3.3329280156963253e-54	3.07184865447e-51	Ainca#c9551;Ainca#c16016;Ainca#c20820;Ainca#c17061;Ainca#c15696;Ainca#c17879;Ainca#c17870;Ainca#c11054;Ainca#c20632;Ainca#c12163;Ainca#c11337;Ainca#c8564;Ainca#c15355;Ainca#c9106;Ainca#c20517;Ainca#c17132;Ainca#c11694;Ainca#c10855;Ainca#c17720;Ainca#c12598;Ainca#c19129;Ainca#c8510;Ainca#c13240;Ainca#c19052;Ainca#c19798;Ainca#c16110;Ainca#c12616;Ainca#c17533;Ainca#c16845;Ainca#c15979;Ainca#c16321;Ainca#c17150;Ainca#c8509;Ainca#c9125;Ainca#c21756;Ainca#c21755;Ainca#c18191;Ainca#c16284;Ainca#c11715;Ainca#c11710;Ainca#c11905;Ainca#c16050;Ainca#c13526;Ainca#c8249;Ainca#c8244;Ainca#c21026;Ainca#c12603;Ainca#c17237;Ainca#c17149;Ainca#c15368;Ainca#c10273;Ainca#c15389;Ainca#c10515;Ainca#c13290;Ainca#c15037;Ainca#c12280;Ainca#c19495;Ainca#c7487;Ainca#c9433;Ainca#c13653;Ainca#c17396;Ainca#c10467;Ainca#c9389;Ainca#c15738;Ainca#c15732;Ainca#c13896;Ainca#c12252;Ainca#c17549;Ainca#c14233;Ainca#c15613;Ainca#c11621;Ainca#c19635;Ainca#c20941;Ainca#c10064;Ainca#c13679;Ainca#c14136;Ainca#c9679;Ainca#c16403;Ainca#c18734;Ainca#c13905;Ainca#c10904;Ainca#c10017;Ainca#c17365;Ainca#c20206;Ainca#c15529;Ainca#c15452;Ainca#c13590;Ainca#c14731;Ainca#c17646;Ainca#c9181;Ainca#c4814;Ainca#c19193;Ainca#c13855;Ainca#c8630;Ainca#c9469;Ainca#c21083;Ainca#c10591;Ainca#c18346;Ainca#c21508;Ainca#c11767;Ainca#c8485;Ainca#c7403;Ainca#c5228;Ainca#c10117;Ainca#c18823;Ainca#c17488;Ainca#c10203;Ainca#c17791;Ainca#c14268;Ainca#c15404;Ainca#c17665;Ainca#c11791;Ainca#c17800;Ainca#c14867;Ainca#c17324;Ainca#c16811;Ainca#c14677;Ainca#c11786;Ainca#c19782;Ainca#c4736;Ainca#c11954;Ainca#c12030;Ainca#c18010;Ainca#c8132;Ainca#c21442;Ainca#c15425;Ainca#c14248;Ainca#c15336
GO:0006412	translation	111	1647	188	13434	2.126694222056039e-53	1.470077381e-50	Ainca#c9551;Ainca#c16016;Ainca#c20820;Ainca#c17061;Ainca#c15696;Ainca#c17879;Ainca#c17870;Ainca#c11054;Ainca#c20632;Ainca#c12163;Ainca#c11337;Ainca#c8564;Ainca#c15355;Ainca#c9106;Ainca#c20517;Ainca#c17132;Ainca#c10855;Ainca#c17720;Ainca#c12598;Ainca#c19129;Ainca#c19052;Ainca#c19798;Ainca#c16110;Ainca#c12616;Ainca#c16845;Ainca#c17150;Ainca#c8509;Ainca#c21756;Ainca#c21755;Ainca#c18191;Ainca#c16284;Ainca#c11710;Ainca#c11905;Ainca#c16050;Ainca#c13526;Ainca#c8244;Ainca#c21026;Ainca#c12603;Ainca#c17237;Ainca#c17149;Ainca#c15368;Ainca#c10273;Ainca#c15389;Ainca#c10515;Ainca#c13290;Ainca#c15037;Ainca#c12280;Ainca#c19495;Ainca#c7487;Ainca#c9433;Ainca#c13653;Ainca#c17396;Ainca#c10467;Ainca#c9389;Ainca#c15738;Ainca#c15732;Ainca#c13896;Ainca#c12252;Ainca#c17549;Ainca#c14233;Ainca#c19635;Ainca#c20941;Ainca#c8855;Ainca#c13679;Ainca#c14136;Ainca#c9679;Ainca#c16403;Ainca#c18734;Ainca#c10017;Ainca#c17365;Ainca#c20206;Ainca#c15529;Ainca#c15452;Ainca#c13590;Ainca#c17646;Ainca#c9181;Ainca#c4814;Ainca#c15243;Ainca#c19193;Ainca#c13855;Ainca#c8630;Ainca#c9469;Ainca#c21083;Ainca#c10591;Ainca#c18346;Ainca#c21508;Ainca#c11767;Ainca#c8485;Ainca#c10117;Ainca#c17488;Ainca#c10203;Ainca#c17791;Ainca#c15404;Ainca#c17665;Ainca#c11791;Ainca#c17800;Ainca#c14867;Ainca#c17324;Ainca#c16811;Ainca#c14677;Ainca#c11786;Ainca#c19782;Ainca#c4736;Ainca#c11954;Ainca#c12030;Ainca#c18010;Ainca#c8132;Ainca#c21442;Ainca#c15425;Ainca#c14248;Ainca#c15336
GO:0043043	peptide biosynthetic process	112	1647	196	13434	7.735110286909074e-52	4.27751598866e-49	Ainca#c9551;Ainca#c16016;Ainca#c20820;Ainca#c17061;Ainca#c15696;Ainca#c17879;Ainca#c17870;Ainca#c11054;Ainca#c20632;Ainca#c12163;Ainca#c11337;Ainca#c8564;Ainca#c15355;Ainca#c9106;Ainca#c20517;Ainca#c17132;Ainca#c10855;Ainca#c17720;Ainca#c12598;Ainca#c19129;Ainca#c19052;Ainca#c19798;Ainca#c16110;Ainca#c12616;Ainca#c16845;Ainca#c17150;Ainca#c8509;Ainca#c21756;Ainca#c21755;Ainca#c18191;Ainca#c16284;Ainca#c11710;Ainca#c11905;Ainca#c16050;Ainca#c13526;Ainca#c8244;Ainca#c21026;Ainca#c12603;Ainca#c17237;Ainca#c17149;Ainca#c15368;Ainca#c10273;Ainca#c15389;Ainca#c10515;Ainca#c13290;Ainca#c15037;Ainca#c12280;Ainca#c19495;Ainca#c7487;Ainca#c9433;Ainca#c13653;Ainca#c17396;Ainca#c10467;Ainca#c9389;Ainca#c15738;Ainca#c15732;Ainca#c13896;Ainca#c12252;Ainca#c16143;Ainca#c17549;Ainca#c14233;Ainca#c19635;Ainca#c20941;Ainca#c8855;Ainca#c13679;Ainca#c14136;Ainca#c9679;Ainca#c16403;Ainca#c18734;Ainca#c10017;Ainca#c17365;Ainca#c20206;Ainca#c15529;Ainca#c15452;Ainca#c13590;Ainca#c17646;Ainca#c9181;Ainca#c4814;Ainca#c15243;Ainca#c19193;Ainca#c13855;Ainca#c8630;Ainca#c9469;Ainca#c21083;Ainca#c10591;Ainca#c18346;Ainca#c21508;Ainca#c11767;Ainca#c8485;Ainca#c10117;Ainca#c17488;Ainca#c10203;Ainca#c17791;Ainca#c15404;Ainca#c17665;Ainca#c11791;Ainca#c17800;Ainca#c14867;Ainca#c17324;Ainca#c16811;Ainca#c14677;Ainca#c11786;Ainca#c19782;Ainca#c4736;Ainca#c11954;Ainca#c12030;Ainca#c18010;Ainca#c8132;Ainca#c21442;Ainca#c15425;Ainca#c14248;Ainca#c15336
GO:0006518	peptide metabolic process	118	1647	221	13434	2.574455462472542e-50	1.18639489229e-47	Ainca#c9551;Ainca#c16016;Ainca#c20820;Ainca#c17061;Ainca#c8168;Ainca#c15696;Ainca#c17879;Ainca#c17870;Ainca#c11054;Ainca#c20632;Ainca#c12163;Ainca#c11337;Ainca#c8564;Ainca#c15355;Ainca#c9106;Ainca#c20517;Ainca#c17132;Ainca#c10855;Ainca#c17720;Ainca#c12598;Ainca#c19129;Ainca#c19052;Ainca#c14367;Ainca#c19798;Ainca#c16110;Ainca#c12616;Ainca#c16845;Ainca#c17150;Ainca#c8509;Ainca#c21756;Ainca#c21755;Ainca#c18191;Ainca#c16284;Ainca#c11710;Ainca#c11905;Ainca#c16050;Ainca#c13526;Ainca#c8244;Ainca#c21026;Ainca#c12603;Ainca#c17237;Ainca#c17149;Ainca#c15368;Ainca#c10273;Ainca#c15389;Ainca#c10515;Ainca#c13290;Ainca#c15037;Ainca#c12280;Ainca#c19495;Ainca#c7487;Ainca#c9433;Ainca#c13653;Ainca#c17396;Ainca#c10467;Ainca#c9389;Ainca#c15738;Ainca#c15732;Ainca#c13896;Ainca#c9423;Ainca#c12252;Ainca#c16143;Ainca#c17549;Ainca#c14233;Ainca#c19635;Ainca#c20941;Ainca#c8855;Ainca#c13679;Ainca#c14136;Ainca#c9679;Ainca#c16403;Ainca#c18734;Ainca#c10017;Ainca#c17365;Ainca#c20206;Ainca#c15529;Ainca#c15452;Ainca#c13590;Ainca#c17646;Ainca#c14022;Ainca#c9181;Ainca#c4814;Ainca#c15243;Ainca#c19193;Ainca#c13855;Ainca#c8630;Ainca#c9469;Ainca#c21083;Ainca#c13928;Ainca#c10591;Ainca#c18346;Ainca#c21508;Ainca#c11767;Ainca#c8485;Ainca#c10117;Ainca#c17488;Ainca#c10203;Ainca#c17791;Ainca#c15404;Ainca#c17665;Ainca#c11791;Ainca#c17800;Ainca#c14867;Ainca#c17324;Ainca#c16811;Ainca#c14677;Ainca#c11786;Ainca#c19782;Ainca#c4736;Ainca#c11954;Ainca#c12030;Ainca#c18010;Ainca#c8132;Ainca#c21442;Ainca#c15425;Ainca#c13957;Ainca#c14248;Ainca#c15336
GO:0043603	cellular amide metabolic process	129	1647	264	13434	3.1771178757440733e-49	1.25496156092e-46	Ainca#c9551;Ainca#c16016;Ainca#c20820;Ainca#c17061;Ainca#c8168;Ainca#c15696;Ainca#c17879;Ainca#c17870;Ainca#c11054;Ainca#c20632;Ainca#c12163;Ainca#c11337;Ainca#c8564;Ainca#c15355;Ainca#c9106;Ainca#c20517;Ainca#c17132;Ainca#c10855;Ainca#c17720;Ainca#c12598;Ainca#c19129;Ainca#c19052;Ainca#c14367;Ainca#c19798;Ainca#c16110;Ainca#c12616;Ainca#c16845;Ainca#c17150;Ainca#c8509;Ainca#c21756;Ainca#c21755;Ainca#c18191;Ainca#c16284;Ainca#c11710;Ainca#c11905;Ainca#c16050;Ainca#c13526;Ainca#c8244;Ainca#c21026;Ainca#c12603;Ainca#c17237;Ainca#c9358;Ainca#c17149;Ainca#c15368;Ainca#c10273;Ainca#c15389;Ainca#c10515;Ainca#c13290;Ainca#c15037;Ainca#c12280;Ainca#c19495;Ainca#c7487;Ainca#c9433;Ainca#c13653;Ainca#c17396;Ainca#c10467;Ainca#c11394;Ainca#c9389;Ainca#c15738;Ainca#c15732;Ainca#c13896;Ainca#c9423;Ainca#c12252;Ainca#c16143;Ainca#c17549;Ainca#c14708;Ainca#c10494;Ainca#c13283;Ainca#c14233;Ainca#c19635;Ainca#c20941;Ainca#c8855;Ainca#c13679;Ainca#c14136;Ainca#c9679;Ainca#c16403;Ainca#c18734;Ainca#c13900;Ainca#c10017;Ainca#c17365;Ainca#c20206;Ainca#c15529;Ainca#c15452;Ainca#c13590;Ainca#c17646;Ainca#c14022;Ainca#c9181;Ainca#c4814;Ainca#c15243;Ainca#c19193;Ainca#c13855;Ainca#c8630;Ainca#c9469;Ainca#c21083;Ainca#c13928;Ainca#c16341;Ainca#c10591;Ainca#c18346;Ainca#c21508;Ainca#c14308;Ainca#c11767;Ainca#c8485;Ainca#c10117;Ainca#c17488;Ainca#c10203;Ainca#c17791;Ainca#c15792;Ainca#c15404;Ainca#c17665;Ainca#c11791;Ainca#c17800;Ainca#c14867;Ainca#c17324;Ainca#c16811;Ainca#c14677;Ainca#c14322;Ainca#c11786;Ainca#c19782;Ainca#c4736;Ainca#c11954;Ainca#c12030;Ainca#c18010;Ainca#c8132;Ainca#c21442;Ainca#c15425;Ainca#c5292;Ainca#c13957;Ainca#c14248;Ainca#c15336
GO:1901566	organonitrogen compound biosynthetic process	191	1647	520	13434	6.2888964828909015e-49	2.1735998469e-46	Ainca#c15111;Ainca#c15205;Ainca#c12968;Ainca#c16371;Ainca#c9551;Ainca#c16016;Ainca#c20820;Ainca#c21342;Ainca#c17061;Ainca#c2465;Ainca#c15928;Ainca#c16652;Ainca#c15696;Ainca#c21492;Ainca#c17879;Ainca#c17870;Ainca#c11054;Ainca#c20632;Ainca#c15215;Ainca#c12976;Ainca#c16473;Ainca#c12163;Ainca#c11337;Ainca#c13695;Ainca#c5059;Ainca#c8564;Ainca#c21643;Ainca#c15355;Ainca#c9106;Ainca#c8745;Ainca#c20517;Ainca#c17132;Ainca#c16070;Ainca#c10855;Ainca#c17720;Ainca#c12598;Ainca#c16854;Ainca#c3460;Ainca#c14746;Ainca#c19129;Ainca#c19052;Ainca#c10629;Ainca#c19798;Ainca#c16110;Ainca#c12616;Ainca#c16845;Ainca#c15970;Ainca#c17150;Ainca#c8509;Ainca#c19066;Ainca#c21756;Ainca#c21755;Ainca#c18191;Ainca#c16284;Ainca#c11710;Ainca#c11905;Ainca#c16050;Ainca#c13526;Ainca#c8244;Ainca#c21026;Ainca#c20975;Ainca#c12603;Ainca#c17237;Ainca#c13649;Ainca#c9358;Ainca#c17149;Ainca#c15368;Ainca#c10273;Ainca#c15389;Ainca#c10515;Ainca#c13290;Ainca#c15037;Ainca#c12280;Ainca#c14433;Ainca#c19495;Ainca#c7487;Ainca#c9433;Ainca#c19143;Ainca#c13653;Ainca#c17396;Ainca#c13385;Ainca#c10467;Ainca#c11394;Ainca#c9389;Ainca#c15738;Ainca#c15732;Ainca#c7854;Ainca#c13896;Ainca#c12252;Ainca#c15952;Ainca#c16143;Ainca#c17549;Ainca#c14946;Ainca#c14708;Ainca#c10494;Ainca#c13283;Ainca#c14233;Ainca#c16709;Ainca#c19707;Ainca#c19635;Ainca#c18727;Ainca#c20941;Ainca#c8855;Ainca#c13679;Ainca#c19166;Ainca#c14136;Ainca#c14006;Ainca#c16710;Ainca#c9679;Ainca#c16403;Ainca#c16404;Ainca#c13875;Ainca#c18734;Ainca#c13900;Ainca#c18339;Ainca#c10017;Ainca#c17365;Ainca#c20206;Ainca#c15529;Ainca#c17746;Ainca#c15452;Ainca#c13590;Ainca#c9984;Ainca#c16173;Ainca#c14577;Ainca#c10000;Ainca#c17357;Ainca#c13104;Ainca#c17646;Ainca#c17003;Ainca#c9181;Ainca#c20040;Ainca#c20041;Ainca#c4814;Ainca#c15243;Ainca#c19196;Ainca#c19195;Ainca#c19193;Ainca#c13855;Ainca#c13851;Ainca#c13850;Ainca#c8630;Ainca#c9469;Ainca#c21083;Ainca#c16341;Ainca#c20261;Ainca#c10591;Ainca#c10210;Ainca#c14058;Ainca#c18346;Ainca#c21508;Ainca#c18162;Ainca#c11767;Ainca#c13828;Ainca#c8485;Ainca#c16233;Ainca#c17338;Ainca#c10117;Ainca#c17488;Ainca#c15451;Ainca#c10203;Ainca#c17791;Ainca#c18590;Ainca#c20062;Ainca#c15404;Ainca#c17665;Ainca#c11791;Ainca#c17800;Ainca#c9141;Ainca#c14867;Ainca#c7345;Ainca#c17324;Ainca#c16811;Ainca#c14677;Ainca#c8744;Ainca#c11786;Ainca#c18548;Ainca#c19782;Ainca#c4736;Ainca#c11954;Ainca#c10793;Ainca#c12030;Ainca#c18010;Ainca#c8132;Ainca#c9238;Ainca#c21442;Ainca#c15425;Ainca#c15688;Ainca#c14248;Ainca#c15336;Ainca#c14244
GO:0043604	amide biosynthetic process	116	1647	223	13434	6.519844625872886e-48	2.0030411545e-45	Ainca#c9551;Ainca#c16016;Ainca#c20820;Ainca#c17061;Ainca#c15696;Ainca#c17879;Ainca#c17870;Ainca#c11054;Ainca#c20632;Ainca#c12163;Ainca#c11337;Ainca#c8564;Ainca#c15355;Ainca#c9106;Ainca#c20517;Ainca#c17132;Ainca#c10855;Ainca#c17720;Ainca#c12598;Ainca#c19129;Ainca#c19052;Ainca#c19798;Ainca#c16110;Ainca#c12616;Ainca#c16845;Ainca#c17150;Ainca#c8509;Ainca#c21756;Ainca#c21755;Ainca#c18191;Ainca#c16284;Ainca#c11710;Ainca#c11905;Ainca#c16050;Ainca#c13526;Ainca#c8244;Ainca#c21026;Ainca#c12603;Ainca#c17237;Ainca#c9358;Ainca#c17149;Ainca#c15368;Ainca#c10273;Ainca#c15389;Ainca#c10515;Ainca#c13290;Ainca#c15037;Ainca#c12280;Ainca#c19495;Ainca#c7487;Ainca#c9433;Ainca#c13653;Ainca#c17396;Ainca#c10467;Ainca#c11394;Ainca#c9389;Ainca#c15738;Ainca#c15732;Ainca#c13896;Ainca#c12252;Ainca#c16143;Ainca#c17549;Ainca#c13283;Ainca#c14233;Ainca#c19635;Ainca#c20941;Ainca#c8855;Ainca#c13679;Ainca#c14136;Ainca#c9679;Ainca#c16403;Ainca#c18734;Ainca#c10017;Ainca#c17365;Ainca#c20206;Ainca#c15529;Ainca#c15452;Ainca#c13590;Ainca#c17646;Ainca#c9181;Ainca#c4814;Ainca#c15243;Ainca#c19193;Ainca#c13855;Ainca#c8630;Ainca#c9469;Ainca#c21083;Ainca#c16341;Ainca#c10591;Ainca#c18346;Ainca#c21508;Ainca#c11767;Ainca#c8485;Ainca#c10117;Ainca#c17488;Ainca#c10203;Ainca#c17791;Ainca#c15404;Ainca#c17665;Ainca#c11791;Ainca#c17800;Ainca#c14867;Ainca#c17324;Ainca#c16811;Ainca#c14677;Ainca#c11786;Ainca#c19782;Ainca#c4736;Ainca#c11954;Ainca#c12030;Ainca#c18010;Ainca#c8132;Ainca#c21442;Ainca#c15425;Ainca#c14248;Ainca#c15336
GO:0044434	chloroplast part	132	1647	305	13434	6.7224029717358095e-43	1.85874442168e-40	Ainca#c1771;Ainca#c20820;Ainca#c13775;Ainca#c15928;Ainca#c19929;Ainca#c20632;Ainca#c4684;Ainca#c5932;Ainca#c11842;Ainca#c20832;Ainca#c12163;Ainca#c13429;Ainca#c16916;Ainca#c5059;Ainca#c14358;Ainca#c8564;Ainca#c20736;Ainca#c21643;Ainca#c1917;Ainca#c15170;Ainca#c19047;Ainca#c9106;Ainca#c21734;Ainca#c10982;Ainca#c9772;Ainca#c10856;Ainca#c10857;Ainca#c3285;Ainca#c12598;Ainca#c10188;Ainca#c1104;Ainca#c19698;Ainca#c7551;Ainca#c19798;Ainca#c16679;Ainca#c7154;Ainca#c2386;Ainca#c17227;Ainca#c14625;Ainca#c16321;Ainca#c16665;Ainca#c14574;Ainca#c8249;Ainca#c8244;Ainca#c21026;Ainca#c20975;Ainca#c13645;Ainca#c14610;Ainca#c10746;Ainca#c9358;Ainca#c3931;Ainca#c19107;Ainca#c15367;Ainca#c12280;Ainca#c4111;Ainca#c18670;Ainca#c9721;Ainca#c9433;Ainca#c5230;Ainca#c19143;Ainca#c15691;Ainca#c11246;Ainca#c13389;Ainca#c14159;Ainca#c9389;Ainca#c21573;Ainca#c15617;Ainca#c15613;Ainca#c7936;Ainca#c8112;Ainca#c7592;Ainca#c12201;Ainca#c8279;Ainca#c8855;Ainca#c16880;Ainca#c3747;Ainca#c11380;Ainca#c14003;Ainca#c11281;Ainca#c18734;Ainca#c12647;Ainca#c7307;Ainca#c14928;Ainca#c3205;Ainca#c13844;Ainca#c16373;Ainca#c7262;Ainca#c13104;Ainca#c18801;Ainca#c9274;Ainca#c5253;Ainca#c9186;Ainca#c9181;Ainca#c1443;Ainca#c15888;Ainca#c6418;Ainca#c13928;Ainca#c16341;Ainca#c10032;Ainca#c12190;Ainca#c2133;Ainca#c20268;Ainca#c10591;Ainca#c20056;Ainca#c18162;Ainca#c15651;Ainca#c7403;Ainca#c7796;Ainca#c16233;Ainca#c13551;Ainca#c17338;Ainca#c15451;Ainca#c9324;Ainca#c16356;Ainca#c4871;Ainca#c8102;Ainca#c13540;Ainca#c17258;Ainca#c2592;Ainca#c4998;Ainca#c18628;Ainca#c13374;Ainca#c614;Ainca#c12225;Ainca#c19439;Ainca#c10790;Ainca#c12030;Ainca#c2920;Ainca#c9238;Ainca#c2102;Ainca#c14613;Ainca#c14244
