annotid	AnnotDesc	Interesting_genes_with_this_annotid	Interesting_genes_with_any_annotation	BG_with_annotid	BG_with_any_annotation	pvalue	p_adj_BH	Interesting_gene_ids
GO:0003735	structural constituent of ribosome	106	1591	165	12809	9.741086839429061e-56	2.56482816482e-52	Aspin#c17001;Aspin#c18856;Aspin#c20520;Aspin#c20521;Aspin#c8500;Aspin#c9471;Aspin#c12767;Aspin#c14203;Aspin#c8680;Aspin#c17499;Aspin#c8998;Aspin#c17107;Aspin#c13953;Aspin#c16055;Aspin#c16523;Aspin#c11405;Aspin#c18003;Aspin#c17661;Aspin#c9075;Aspin#c15423;Aspin#c13108;Aspin#c14009;Aspin#c11187;Aspin#c7779;Aspin#c20268;Aspin#c8066;Aspin#c9399;Aspin#c12355;Aspin#c18248;Aspin#c15384;Aspin#c18736;Aspin#c18735;Aspin#c7983;Aspin#c17261;Aspin#c20709;Aspin#c9701;Aspin#c19077;Aspin#c19491;Aspin#c10108;Aspin#c14444;Aspin#c18608;Aspin#c20716;Aspin#c17143;Aspin#c12533;Aspin#c12409;Aspin#c16660;Aspin#c14633;Aspin#c20349;Aspin#c11274;Aspin#c19720;Aspin#c19838;Aspin#c11471;Aspin#c11651;Aspin#c14190;Aspin#c17899;Aspin#c16702;Aspin#c20356;Aspin#c16617;Aspin#c19643;Aspin#c19648;Aspin#c18606;Aspin#c18607;Aspin#c19220;Aspin#c14292;Aspin#c17555;Aspin#c17377;Aspin#c17080;Aspin#c20362;Aspin#c9742;Aspin#c20745;Aspin#c13670;Aspin#c19059;Aspin#c17345;Aspin#c20112;Aspin#c16100;Aspin#c18572;Aspin#c17973;Aspin#c8142;Aspin#c12459;Aspin#c14790;Aspin#c8158;Aspin#c9158;Aspin#c13191;Aspin#c19771;Aspin#c12483;Aspin#c18559;Aspin#c14654;Aspin#c14659;Aspin#c18316;Aspin#c11224;Aspin#c11179;Aspin#c10311;Aspin#c18043;Aspin#c10959;Aspin#c17683;Aspin#c10428;Aspin#c21308;Aspin#c9858;Aspin#c21127;Aspin#c9459;Aspin#c14137;Aspin#c18054;Aspin#c10941;Aspin#c17832;Aspin#c17305;Aspin#c17017
GO:0005840	ribosome	99	1591	150	12809	9.752894014302164e-54	1.28396849698e-50	Aspin#c17001;Aspin#c18856;Aspin#c20520;Aspin#c20521;Aspin#c8500;Aspin#c9471;Aspin#c12767;Aspin#c14203;Aspin#c8680;Aspin#c8998;Aspin#c17107;Aspin#c13953;Aspin#c16055;Aspin#c16523;Aspin#c11405;Aspin#c11400;Aspin#c18003;Aspin#c17661;Aspin#c9075;Aspin#c13108;Aspin#c11187;Aspin#c7779;Aspin#c20268;Aspin#c8066;Aspin#c9399;Aspin#c12355;Aspin#c18248;Aspin#c15384;Aspin#c18736;Aspin#c18735;Aspin#c7983;Aspin#c17261;Aspin#c20709;Aspin#c9701;Aspin#c19077;Aspin#c19491;Aspin#c10108;Aspin#c14444;Aspin#c18608;Aspin#c20716;Aspin#c17143;Aspin#c12533;Aspin#c16660;Aspin#c20349;Aspin#c11274;Aspin#c19720;Aspin#c14737;Aspin#c19838;Aspin#c11471;Aspin#c11651;Aspin#c16702;Aspin#c20356;Aspin#c16617;Aspin#c19643;Aspin#c19648;Aspin#c18606;Aspin#c18607;Aspin#c19220;Aspin#c14292;Aspin#c17555;Aspin#c17377;Aspin#c17080;Aspin#c20362;Aspin#c9742;Aspin#c20745;Aspin#c13670;Aspin#c11924;Aspin#c14086;Aspin#c19059;Aspin#c17345;Aspin#c16100;Aspin#c18572;Aspin#c17973;Aspin#c8142;Aspin#c12459;Aspin#c14790;Aspin#c8158;Aspin#c9158;Aspin#c13191;Aspin#c12483;Aspin#c18559;Aspin#c14659;Aspin#c18316;Aspin#c11224;Aspin#c11179;Aspin#c10311;Aspin#c18043;Aspin#c10959;Aspin#c17683;Aspin#c10428;Aspin#c21308;Aspin#c9858;Aspin#c9459;Aspin#c14137;Aspin#c18054;Aspin#c10941;Aspin#c17832;Aspin#c17305;Aspin#c17017
GO:0005198	structural molecule activity	120	1591	215	12809	2.0529024798807708e-53	1.80176407651e-50	Aspin#c17001;Aspin#c18856;Aspin#c20520;Aspin#c20521;Aspin#c8500;Aspin#c9471;Aspin#c12767;Aspin#c14203;Aspin#c8680;Aspin#c17499;Aspin#c8998;Aspin#c17107;Aspin#c13953;Aspin#c16055;Aspin#c16523;Aspin#c11405;Aspin#c18003;Aspin#c17661;Aspin#c20508;Aspin#c20509;Aspin#c9075;Aspin#c15423;Aspin#c13108;Aspin#c14009;Aspin#c11187;Aspin#c7779;Aspin#c20268;Aspin#c8066;Aspin#c12516;Aspin#c9399;Aspin#c12355;Aspin#c15560;Aspin#c18248;Aspin#c15384;Aspin#c18736;Aspin#c18735;Aspin#c7983;Aspin#c17261;Aspin#c20709;Aspin#c9701;Aspin#c19077;Aspin#c1538;Aspin#c19491;Aspin#c6814;Aspin#c10108;Aspin#c14444;Aspin#c18608;Aspin#c20716;Aspin#c17143;Aspin#c12533;Aspin#c9356;Aspin#c12409;Aspin#c16660;Aspin#c14633;Aspin#c15723;Aspin#c7100;Aspin#c20349;Aspin#c11274;Aspin#c19720;Aspin#c19838;Aspin#c11471;Aspin#c11651;Aspin#c14190;Aspin#c17899;Aspin#c16702;Aspin#c20356;Aspin#c16617;Aspin#c19643;Aspin#c19648;Aspin#c18606;Aspin#c18607;Aspin#c19220;Aspin#c14292;Aspin#c17555;Aspin#c17377;Aspin#c17080;Aspin#c20362;Aspin#c9742;Aspin#c20745;Aspin#c13670;Aspin#c11039;Aspin#c19059;Aspin#c17345;Aspin#c20112;Aspin#c16100;Aspin#c18572;Aspin#c6815;Aspin#c17973;Aspin#c8142;Aspin#c12459;Aspin#c14790;Aspin#c11169;Aspin#c8158;Aspin#c9158;Aspin#c13191;Aspin#c19771;Aspin#c12483;Aspin#c18559;Aspin#c14654;Aspin#c14659;Aspin#c18316;Aspin#c11224;Aspin#c11179;Aspin#c10311;Aspin#c18043;Aspin#c10959;Aspin#c17683;Aspin#c10428;Aspin#c21308;Aspin#c9858;Aspin#c21127;Aspin#c9459;Aspin#c14137;Aspin#c18054;Aspin#c10941;Aspin#c17832;Aspin#c17529;Aspin#c17305;Aspin#c17017;Aspin#c9045
GO:0006412	translation	104	1591	169	12809	4.9501607586824685e-52	3.2584433194e-49	Aspin#c17001;Aspin#c18856;Aspin#c20520;Aspin#c20521;Aspin#c8500;Aspin#c9471;Aspin#c12767;Aspin#c14203;Aspin#c8680;Aspin#c8998;Aspin#c17107;Aspin#c13953;Aspin#c16055;Aspin#c16523;Aspin#c11405;Aspin#c18003;Aspin#c17661;Aspin#c9075;Aspin#c13108;Aspin#c14009;Aspin#c11187;Aspin#c7779;Aspin#c20268;Aspin#c8066;Aspin#c9399;Aspin#c12355;Aspin#c18248;Aspin#c15384;Aspin#c18736;Aspin#c18735;Aspin#c7983;Aspin#c17261;Aspin#c20709;Aspin#c9701;Aspin#c19077;Aspin#c12234;Aspin#c19491;Aspin#c10108;Aspin#c14444;Aspin#c18608;Aspin#c20716;Aspin#c17143;Aspin#c12533;Aspin#c16660;Aspin#c14633;Aspin#c20349;Aspin#c11274;Aspin#c19720;Aspin#c14737;Aspin#c19838;Aspin#c11471;Aspin#c11651;Aspin#c14190;Aspin#c17899;Aspin#c16702;Aspin#c20356;Aspin#c16617;Aspin#c19643;Aspin#c19648;Aspin#c18606;Aspin#c18607;Aspin#c19220;Aspin#c14292;Aspin#c17555;Aspin#c17377;Aspin#c20362;Aspin#c9742;Aspin#c20745;Aspin#c13670;Aspin#c19059;Aspin#c17345;Aspin#c20112;Aspin#c16100;Aspin#c18572;Aspin#c17973;Aspin#c8142;Aspin#c12459;Aspin#c14790;Aspin#c8158;Aspin#c9158;Aspin#c13191;Aspin#c19771;Aspin#c12483;Aspin#c18559;Aspin#c14654;Aspin#c14659;Aspin#c18316;Aspin#c11224;Aspin#c11179;Aspin#c10311;Aspin#c18043;Aspin#c10959;Aspin#c17683;Aspin#c10428;Aspin#c21308;Aspin#c9858;Aspin#c21127;Aspin#c9459;Aspin#c14137;Aspin#c18054;Aspin#c10941;Aspin#c17832;Aspin#c17305;Aspin#c17017
GO:0043043	peptide biosynthetic process	105	1591	175	12809	5.413437080234153e-51	2.85071596645e-48	Aspin#c17001;Aspin#c18856;Aspin#c20520;Aspin#c20521;Aspin#c8500;Aspin#c9471;Aspin#c12767;Aspin#c14203;Aspin#c8680;Aspin#c8998;Aspin#c17107;Aspin#c13953;Aspin#c16055;Aspin#c16523;Aspin#c11405;Aspin#c18003;Aspin#c17661;Aspin#c9075;Aspin#c13108;Aspin#c14009;Aspin#c11187;Aspin#c7779;Aspin#c20268;Aspin#c8066;Aspin#c9399;Aspin#c12355;Aspin#c18248;Aspin#c15384;Aspin#c18736;Aspin#c18735;Aspin#c10486;Aspin#c7983;Aspin#c17261;Aspin#c20709;Aspin#c9701;Aspin#c19077;Aspin#c12234;Aspin#c19491;Aspin#c10108;Aspin#c14444;Aspin#c18608;Aspin#c20716;Aspin#c17143;Aspin#c12533;Aspin#c16660;Aspin#c14633;Aspin#c20349;Aspin#c11274;Aspin#c19720;Aspin#c14737;Aspin#c19838;Aspin#c11471;Aspin#c11651;Aspin#c14190;Aspin#c17899;Aspin#c16702;Aspin#c20356;Aspin#c16617;Aspin#c19643;Aspin#c19648;Aspin#c18606;Aspin#c18607;Aspin#c19220;Aspin#c14292;Aspin#c17555;Aspin#c17377;Aspin#c20362;Aspin#c9742;Aspin#c20745;Aspin#c13670;Aspin#c19059;Aspin#c17345;Aspin#c20112;Aspin#c16100;Aspin#c18572;Aspin#c17973;Aspin#c8142;Aspin#c12459;Aspin#c14790;Aspin#c8158;Aspin#c9158;Aspin#c13191;Aspin#c19771;Aspin#c12483;Aspin#c18559;Aspin#c14654;Aspin#c14659;Aspin#c18316;Aspin#c11224;Aspin#c11179;Aspin#c10311;Aspin#c18043;Aspin#c10959;Aspin#c17683;Aspin#c10428;Aspin#c21308;Aspin#c9858;Aspin#c21127;Aspin#c9459;Aspin#c14137;Aspin#c18054;Aspin#c10941;Aspin#c17832;Aspin#c17305;Aspin#c17017
GO:0043604	amide biosynthetic process	109	1591	199	12809	1.8396540942794124e-47	8.07301538373e-45	Aspin#c17001;Aspin#c18856;Aspin#c20520;Aspin#c20521;Aspin#c8500;Aspin#c9471;Aspin#c12767;Aspin#c14203;Aspin#c8680;Aspin#c8998;Aspin#c17107;Aspin#c13953;Aspin#c16055;Aspin#c16523;Aspin#c11405;Aspin#c18003;Aspin#c17661;Aspin#c9075;Aspin#c16733;Aspin#c13108;Aspin#c14009;Aspin#c11187;Aspin#c7779;Aspin#c20268;Aspin#c8066;Aspin#c9399;Aspin#c12355;Aspin#c18248;Aspin#c15384;Aspin#c18736;Aspin#c18735;Aspin#c10486;Aspin#c7983;Aspin#c17261;Aspin#c20709;Aspin#c9701;Aspin#c19077;Aspin#c12234;Aspin#c19491;Aspin#c10108;Aspin#c14444;Aspin#c18608;Aspin#c20716;Aspin#c17143;Aspin#c12533;Aspin#c16660;Aspin#c14633;Aspin#c20349;Aspin#c11274;Aspin#c19720;Aspin#c14737;Aspin#c19838;Aspin#c11471;Aspin#c15735;Aspin#c11651;Aspin#c14190;Aspin#c17899;Aspin#c16702;Aspin#c20356;Aspin#c16617;Aspin#c19643;Aspin#c19648;Aspin#c18606;Aspin#c18607;Aspin#c19220;Aspin#c14292;Aspin#c17555;Aspin#c17377;Aspin#c20362;Aspin#c9742;Aspin#c20745;Aspin#c13670;Aspin#c19059;Aspin#c17345;Aspin#c20112;Aspin#c16100;Aspin#c18572;Aspin#c17973;Aspin#c8142;Aspin#c12459;Aspin#c12630;Aspin#c14790;Aspin#c8158;Aspin#c9158;Aspin#c13191;Aspin#c20794;Aspin#c19771;Aspin#c12483;Aspin#c18559;Aspin#c14654;Aspin#c14659;Aspin#c18316;Aspin#c11224;Aspin#c11179;Aspin#c10311;Aspin#c18043;Aspin#c10959;Aspin#c17683;Aspin#c10428;Aspin#c21308;Aspin#c9858;Aspin#c21127;Aspin#c9459;Aspin#c14137;Aspin#c18054;Aspin#c10941;Aspin#c17832;Aspin#c17305;Aspin#c17017
GO:0006518	peptide metabolic process	106	1591	194	12809	4.937824933603473e-46	1.8573275786e-43	Aspin#c17001;Aspin#c18856;Aspin#c20520;Aspin#c20521;Aspin#c8500;Aspin#c9471;Aspin#c12767;Aspin#c14203;Aspin#c8680;Aspin#c8998;Aspin#c17107;Aspin#c13953;Aspin#c16055;Aspin#c16523;Aspin#c11405;Aspin#c18003;Aspin#c17661;Aspin#c9075;Aspin#c13108;Aspin#c14009;Aspin#c11187;Aspin#c7779;Aspin#c20268;Aspin#c8066;Aspin#c9399;Aspin#c12355;Aspin#c18248;Aspin#c15384;Aspin#c9375;Aspin#c18736;Aspin#c18735;Aspin#c10486;Aspin#c7983;Aspin#c17261;Aspin#c20709;Aspin#c9701;Aspin#c19077;Aspin#c12234;Aspin#c19491;Aspin#c10108;Aspin#c14444;Aspin#c18608;Aspin#c20716;Aspin#c17143;Aspin#c12533;Aspin#c16660;Aspin#c14633;Aspin#c20349;Aspin#c11274;Aspin#c19720;Aspin#c14737;Aspin#c19838;Aspin#c11471;Aspin#c11651;Aspin#c14190;Aspin#c17899;Aspin#c16702;Aspin#c20356;Aspin#c16617;Aspin#c19643;Aspin#c19648;Aspin#c18606;Aspin#c18607;Aspin#c19220;Aspin#c14292;Aspin#c17555;Aspin#c17377;Aspin#c20362;Aspin#c9742;Aspin#c20745;Aspin#c13670;Aspin#c19059;Aspin#c17345;Aspin#c20112;Aspin#c16100;Aspin#c18572;Aspin#c17973;Aspin#c8142;Aspin#c12459;Aspin#c14790;Aspin#c8158;Aspin#c9158;Aspin#c13191;Aspin#c19771;Aspin#c12483;Aspin#c18559;Aspin#c14654;Aspin#c14659;Aspin#c18316;Aspin#c11224;Aspin#c11179;Aspin#c10311;Aspin#c18043;Aspin#c10959;Aspin#c17683;Aspin#c10428;Aspin#c21308;Aspin#c9858;Aspin#c21127;Aspin#c9459;Aspin#c14137;Aspin#c18054;Aspin#c10941;Aspin#c17832;Aspin#c17305;Aspin#c17017
GO:0043603	cellular amide metabolic process	116	1591	240	12809	3.647755951932797e-43	1.20056767768e-40	Aspin#c17001;Aspin#c18856;Aspin#c20520;Aspin#c20521;Aspin#c8500;Aspin#c9471;Aspin#c12767;Aspin#c14203;Aspin#c8680;Aspin#c8998;Aspin#c17107;Aspin#c13953;Aspin#c16055;Aspin#c16523;Aspin#c11405;Aspin#c18003;Aspin#c17661;Aspin#c9075;Aspin#c16733;Aspin#c13108;Aspin#c14009;Aspin#c11187;Aspin#c7779;Aspin#c20268;Aspin#c8066;Aspin#c9399;Aspin#c12355;Aspin#c18248;Aspin#c15384;Aspin#c9375;Aspin#c18736;Aspin#c18735;Aspin#c10486;Aspin#c7983;Aspin#c17261;Aspin#c20709;Aspin#c9701;Aspin#c19077;Aspin#c12234;Aspin#c19491;Aspin#c12268;Aspin#c10108;Aspin#c14444;Aspin#c18608;Aspin#c7752;Aspin#c20716;Aspin#c17143;Aspin#c12533;Aspin#c16660;Aspin#c14633;Aspin#c20349;Aspin#c11274;Aspin#c19720;Aspin#c14737;Aspin#c19838;Aspin#c11471;Aspin#c15735;Aspin#c11651;Aspin#c14190;Aspin#c17899;Aspin#c16702;Aspin#c20356;Aspin#c16617;Aspin#c19643;Aspin#c19648;Aspin#c18606;Aspin#c18607;Aspin#c19220;Aspin#c14292;Aspin#c17555;Aspin#c8586;Aspin#c17377;Aspin#c20362;Aspin#c9742;Aspin#c20745;Aspin#c13670;Aspin#c14086;Aspin#c14082;Aspin#c19059;Aspin#c17345;Aspin#c20112;Aspin#c16100;Aspin#c18572;Aspin#c17973;Aspin#c8142;Aspin#c12459;Aspin#c12630;Aspin#c14790;Aspin#c8158;Aspin#c9158;Aspin#c13191;Aspin#c20794;Aspin#c19771;Aspin#c12483;Aspin#c18559;Aspin#c14654;Aspin#c14659;Aspin#c18316;Aspin#c11224;Aspin#c11179;Aspin#c10311;Aspin#c18043;Aspin#c10959;Aspin#c17683;Aspin#c10428;Aspin#c21308;Aspin#c9858;Aspin#c21127;Aspin#c9459;Aspin#c14137;Aspin#c14355;Aspin#c18054;Aspin#c10941;Aspin#c17832;Aspin#c17305;Aspin#c17017
GO:1901566	organonitrogen compound biosynthetic process	176	1591	514	12809	1.5216023428766602e-39	4.45153218755e-37	Aspin#c17001;Aspin#c18856;Aspin#c20520;Aspin#c20521;Aspin#c8500;Aspin#c16194;Aspin#c9471;Aspin#c12767;Aspin#c14203;Aspin#c8680;Aspin#c8998;Aspin#c13228;Aspin#c17107;Aspin#c13953;Aspin#c16055;Aspin#c16523;Aspin#c11405;Aspin#c11400;Aspin#c18003;Aspin#c10131;Aspin#c15277;Aspin#c17661;Aspin#c8858;Aspin#c9075;Aspin#c12564;Aspin#c13564;Aspin#c16733;Aspin#c13108;Aspin#c13616;Aspin#c15771;Aspin#c14009;Aspin#c15078;Aspin#c19870;Aspin#c11187;Aspin#c7779;Aspin#c14437;Aspin#c20268;Aspin#c20260;Aspin#c8066;Aspin#c9399;Aspin#c12355;Aspin#c18248;Aspin#c15384;Aspin#c18736;Aspin#c18735;Aspin#c10486;Aspin#c7983;Aspin#c17261;Aspin#c17285;Aspin#c20709;Aspin#c8384;Aspin#c9701;Aspin#c13742;Aspin#c19077;Aspin#c16372;Aspin#c15578;Aspin#c12234;Aspin#c13631;Aspin#c19491;Aspin#c16975;Aspin#c16579;Aspin#c16577;Aspin#c12268;Aspin#c10108;Aspin#c14444;Aspin#c10816;Aspin#c10491;Aspin#c10659;Aspin#c17920;Aspin#c18608;Aspin#c3298;Aspin#c20716;Aspin#c9027;Aspin#c17143;Aspin#c12533;Aspin#c10477;Aspin#c11288;Aspin#c16660;Aspin#c14142;Aspin#c14633;Aspin#c10825;Aspin#c11714;Aspin#c11710;Aspin#c20232;Aspin#c20349;Aspin#c8636;Aspin#c11274;Aspin#c19720;Aspin#c14737;Aspin#c19838;Aspin#c11471;Aspin#c15735;Aspin#c11651;Aspin#c14190;Aspin#c17899;Aspin#c16702;Aspin#c20356;Aspin#c9193;Aspin#c12460;Aspin#c7828;Aspin#c16617;Aspin#c19643;Aspin#c19648;Aspin#c12266;Aspin#c18606;Aspin#c18607;Aspin#c19220;Aspin#c16904;Aspin#c9401;Aspin#c14292;Aspin#c14470;Aspin#c17555;Aspin#c10601;Aspin#c17426;Aspin#c8586;Aspin#c17377;Aspin#c20362;Aspin#c9742;Aspin#c13702;Aspin#c20745;Aspin#c13670;Aspin#c13070;Aspin#c16934;Aspin#c17566;Aspin#c19059;Aspin#c14885;Aspin#c17345;Aspin#c20112;Aspin#c16100;Aspin#c12045;Aspin#c12916;Aspin#c16633;Aspin#c18572;Aspin#c19686;Aspin#c11116;Aspin#c14415;Aspin#c17973;Aspin#c8142;Aspin#c12459;Aspin#c9789;Aspin#c12630;Aspin#c14790;Aspin#c17867;Aspin#c8158;Aspin#c9158;Aspin#c13191;Aspin#c20794;Aspin#c19771;Aspin#c12483;Aspin#c18559;Aspin#c14654;Aspin#c14659;Aspin#c18316;Aspin#c11224;Aspin#c11179;Aspin#c18425;Aspin#c10311;Aspin#c18043;Aspin#c10959;Aspin#c17683;Aspin#c10428;Aspin#c21308;Aspin#c9858;Aspin#c21127;Aspin#c16605;Aspin#c9459;Aspin#c15265;Aspin#c14137;Aspin#c14355;Aspin#c18054;Aspin#c10941;Aspin#c17832;Aspin#c8319;Aspin#c17305;Aspin#c17017;Aspin#c13448
GO:0043228	non-membrane-bounded organelle	112	1591	259	12809	6.047792506053423e-36	1.44762160622e-33	Aspin#c17001;Aspin#c18856;Aspin#c20520;Aspin#c20521;Aspin#c8500;Aspin#c9471;Aspin#c12767;Aspin#c14203;Aspin#c8680;Aspin#c8998;Aspin#c17107;Aspin#c13953;Aspin#c13488;Aspin#c16055;Aspin#c16523;Aspin#c11405;Aspin#c11400;Aspin#c18003;Aspin#c17661;Aspin#c9075;Aspin#c17113;Aspin#c1;Aspin#c13108;Aspin#c11187;Aspin#c7779;Aspin#c20268;Aspin#c8066;Aspin#c9399;Aspin#c12355;Aspin#c11994;Aspin#c18248;Aspin#c15384;Aspin#c18736;Aspin#c18735;Aspin#c7983;Aspin#c17261;Aspin#c20709;Aspin#c9701;Aspin#c19077;Aspin#c16156;Aspin#c19491;Aspin#c19703;Aspin#c10108;Aspin#c14444;Aspin#c18608;Aspin#c5841;Aspin#c20716;Aspin#c17143;Aspin#c12533;Aspin#c16660;Aspin#c14638;Aspin#c20349;Aspin#c19659;Aspin#c11274;Aspin#c19720;Aspin#c14737;Aspin#c19838;Aspin#c11471;Aspin#c11651;Aspin#c16702;Aspin#c20356;Aspin#c16617;Aspin#c19643;Aspin#c19648;Aspin#c18606;Aspin#c18607;Aspin#c19220;Aspin#c14292;Aspin#c17555;Aspin#c17377;Aspin#c17080;Aspin#c20362;Aspin#c9742;Aspin#c20745;Aspin#c13670;Aspin#c11924;Aspin#c15829;Aspin#c14405;Aspin#c14086;Aspin#c19059;Aspin#c17345;Aspin#c16100;Aspin#c18572;Aspin#c17973;Aspin#c8142;Aspin#c12459;Aspin#c14790;Aspin#c18148;Aspin#c15064;Aspin#c8158;Aspin#c9158;Aspin#c13191;Aspin#c12483;Aspin#c18559;Aspin#c14659;Aspin#c18316;Aspin#c11224;Aspin#c11179;Aspin#c10311;Aspin#c18043;Aspin#c10959;Aspin#c17683;Aspin#c10428;Aspin#c21308;Aspin#c9858;Aspin#c9459;Aspin#c14137;Aspin#c18054;Aspin#c10941;Aspin#c17832;Aspin#c17305;Aspin#c17017
