annotid	AnnotDesc	Interesting_genes_with_this_annotid	Interesting_genes_with_any_annotation	BG_with_annotid	BG_with_any_annotation	pvalue	p_adj_BH	Interesting_gene_ids
GO:0005198	structural molecule activity	134	1578	215	13485	3.212044573828281e-71	8.53761447724e-68	Among#c14030;Among#c14031;Among#c15613;Among#c6825;Among#c6826;Among#c10693;Among#c18829;Among#c11470;Among#c14690;Among#c19062;Among#c13484;Among#c14029;Among#c14201;Among#c14202;Among#c18690;Among#c13795;Among#c18100;Among#c13467;Among#c12534;Among#c9772;Among#c17941;Among#c17018;Among#c10676;Among#c14168;Among#c18118;Among#c14164;Among#c14300;Among#c13476;Among#c15787;Among#c8901;Among#c10895;Among#c10062;Among#c11335;Among#c12910;Among#c16784;Among#c21095;Among#c13303;Among#c20328;Among#c17363;Among#c11687;Among#c17217;Among#c10654;Among#c18319;Among#c19221;Among#c22469;Among#c18889;Among#c20918;Among#c22065;Among#c16159;Among#c11104;Among#c9257;Among#c21644;Among#c18257;Among#c13738;Among#c20902;Among#c13994;Among#c17166;Among#c13216;Among#c18625;Among#c18624;Among#c19114;Among#c22220;Among#c16172;Among#c20112;Among#c9272;Among#c21985;Among#c18769;Among#c10285;Among#c9059;Among#c16431;Among#c11712;Among#c10386;Among#c10144;Among#c18979;Among#c17645;Among#c21284;Among#c17462;Among#c10542;Among#c18568;Among#c19766;Among#c13774;Among#c12043;Among#c12046;Among#c17883;Among#c19169;Among#c12134;Among#c18943;Among#c1806;Among#c1807;Among#c20168;Among#c17076;Among#c14670;Among#c22404;Among#c22405;Among#c19151;Among#c17669;Among#c19840;Among#c10499;Among#c20535;Among#c13820;Among#c20447;Among#c19676;Among#c14669;Among#c3295;Among#c3294;Among#c11198;Among#c3963;Among#c20633;Among#c12206;Among#c15839;Among#c20036;Among#c8553;Among#c8171;Among#c17053;Among#c14013;Among#c19607;Among#c19195;Among#c20869;Among#c19045;Among#c9703;Among#c20195;Among#c12995;Among#c18588;Among#c15351;Among#c10111;Among#c12179;Among#c19986;Among#c19870;Among#c9882;Among#c20292;Among#c16452;Among#c16451;Among#c10846;Among#c8110
GO:0003735	structural constituent of ribosome	112	1578	158	13485	1.0553812812750175e-68	1.40260172281e-65	Among#c15613;Among#c10693;Among#c18829;Among#c11470;Among#c14690;Among#c19062;Among#c13484;Among#c14201;Among#c14202;Among#c18690;Among#c13795;Among#c18100;Among#c13467;Among#c12534;Among#c9772;Among#c17941;Among#c17018;Among#c10676;Among#c14168;Among#c18118;Among#c14164;Among#c14300;Among#c13476;Among#c15787;Among#c8901;Among#c10895;Among#c10062;Among#c12910;Among#c16784;Among#c21095;Among#c13303;Among#c20328;Among#c17363;Among#c11687;Among#c10654;Among#c19221;Among#c22469;Among#c18889;Among#c20918;Among#c22065;Among#c16159;Among#c11104;Among#c21644;Among#c18257;Among#c13738;Among#c20902;Among#c13994;Among#c17166;Among#c13216;Among#c19114;Among#c22220;Among#c16172;Among#c20112;Among#c9272;Among#c21985;Among#c18769;Among#c10285;Among#c9059;Among#c16431;Among#c11712;Among#c10386;Among#c10144;Among#c18979;Among#c17645;Among#c21284;Among#c17462;Among#c10542;Among#c18568;Among#c19766;Among#c12043;Among#c12046;Among#c17883;Among#c19169;Among#c18943;Among#c20168;Among#c17076;Among#c22404;Among#c22405;Among#c19151;Among#c17669;Among#c19840;Among#c10499;Among#c20535;Among#c13820;Among#c20447;Among#c19676;Among#c11198;Among#c3963;Among#c20633;Among#c12206;Among#c15839;Among#c20036;Among#c8171;Among#c14013;Among#c19607;Among#c19195;Among#c20869;Among#c19045;Among#c9703;Among#c12995;Among#c18588;Among#c15351;Among#c10111;Among#c12179;Among#c19986;Among#c19870;Among#c9882;Among#c20292;Among#c16452;Among#c16451;Among#c10846;Among#c8110
GO:0005840	ribosome	104	1578	145	13485	1.1823456408243495e-64	1.04755823777e-61	Among#c15613;Among#c10693;Among#c11470;Among#c13484;Among#c14201;Among#c14202;Among#c18690;Among#c13795;Among#c18100;Among#c13467;Among#c12534;Among#c9772;Among#c17018;Among#c10676;Among#c14168;Among#c18118;Among#c14300;Among#c13476;Among#c15787;Among#c8901;Among#c10895;Among#c10062;Among#c12910;Among#c16784;Among#c21095;Among#c20328;Among#c17363;Among#c11687;Among#c10654;Among#c19221;Among#c18889;Among#c20918;Among#c22065;Among#c16159;Among#c11104;Among#c21644;Among#c18257;Among#c11355;Among#c13738;Among#c20902;Among#c13994;Among#c17166;Among#c13216;Among#c19114;Among#c22220;Among#c16172;Among#c20112;Among#c9272;Among#c21985;Among#c18769;Among#c10285;Among#c9059;Among#c22529;Among#c10386;Among#c10144;Among#c17645;Among#c21284;Among#c17462;Among#c10542;Among#c18568;Among#c19766;Among#c12043;Among#c17883;Among#c19169;Among#c18943;Among#c20168;Among#c20387;Among#c17076;Among#c22404;Among#c22405;Among#c19151;Among#c17669;Among#c19840;Among#c10499;Among#c20535;Among#c13820;Among#c19676;Among#c11198;Among#c3963;Among#c15300;Among#c20633;Among#c12206;Among#c15839;Among#c20036;Among#c8171;Among#c14013;Among#c19607;Among#c19195;Among#c20869;Among#c9703;Among#c12995;Among#c18588;Among#c15351;Among#c10111;Among#c12179;Among#c22760;Among#c19986;Among#c19870;Among#c9882;Among#c20292;Among#c16452;Among#c16451;Among#c10846;Among#c8110
GO:0006412	translation	109	1578	162	13485	4.1145269583495547e-63	2.73410316382e-60	Among#c15613;Among#c10693;Among#c18829;Among#c11470;Among#c14690;Among#c19062;Among#c13484;Among#c14201;Among#c14202;Among#c18690;Among#c13795;Among#c18100;Among#c13663;Among#c13467;Among#c12534;Among#c9772;Among#c17941;Among#c17018;Among#c10676;Among#c14168;Among#c18118;Among#c14164;Among#c14300;Among#c12699;Among#c13476;Among#c15787;Among#c8901;Among#c10895;Among#c10062;Among#c12910;Among#c16784;Among#c21095;Among#c13303;Among#c20328;Among#c17363;Among#c11687;Among#c10654;Among#c19221;Among#c22469;Among#c18889;Among#c20918;Among#c22065;Among#c16159;Among#c11104;Among#c21644;Among#c18257;Among#c13738;Among#c20902;Among#c13994;Among#c17166;Among#c13216;Among#c19114;Among#c22220;Among#c16172;Among#c20112;Among#c9272;Among#c21985;Among#c18769;Among#c10285;Among#c9059;Among#c11712;Among#c10386;Among#c10144;Among#c18979;Among#c17645;Among#c21284;Among#c17462;Among#c10542;Among#c18568;Among#c19766;Among#c12043;Among#c17883;Among#c19169;Among#c18943;Among#c20168;Among#c17076;Among#c22404;Among#c22405;Among#c19151;Among#c17669;Among#c19840;Among#c10499;Among#c20535;Among#c13820;Among#c19676;Among#c3963;Among#c15300;Among#c20633;Among#c12206;Among#c15839;Among#c20036;Among#c8171;Among#c14013;Among#c19607;Among#c19195;Among#c20869;Among#c9703;Among#c12995;Among#c18588;Among#c15351;Among#c10111;Among#c12179;Among#c19986;Among#c19870;Among#c9882;Among#c20292;Among#c16452;Among#c10846;Among#c8110
GO:0043043	peptide biosynthetic process	109	1578	170	13485	8.107869438004731e-60	4.31014339324e-57	Among#c15613;Among#c10693;Among#c18829;Among#c11470;Among#c14690;Among#c19062;Among#c13484;Among#c14201;Among#c14202;Among#c18690;Among#c13795;Among#c18100;Among#c13663;Among#c13467;Among#c12534;Among#c9772;Among#c17941;Among#c17018;Among#c10676;Among#c14168;Among#c18118;Among#c14164;Among#c14300;Among#c12699;Among#c13476;Among#c15787;Among#c8901;Among#c10895;Among#c10062;Among#c12910;Among#c16784;Among#c21095;Among#c13303;Among#c20328;Among#c17363;Among#c11687;Among#c10654;Among#c19221;Among#c22469;Among#c18889;Among#c20918;Among#c22065;Among#c16159;Among#c11104;Among#c21644;Among#c18257;Among#c13738;Among#c20902;Among#c13994;Among#c17166;Among#c13216;Among#c19114;Among#c22220;Among#c16172;Among#c20112;Among#c9272;Among#c21985;Among#c18769;Among#c10285;Among#c9059;Among#c11712;Among#c10386;Among#c10144;Among#c18979;Among#c17645;Among#c21284;Among#c17462;Among#c10542;Among#c18568;Among#c19766;Among#c12043;Among#c17883;Among#c19169;Among#c18943;Among#c20168;Among#c17076;Among#c22404;Among#c22405;Among#c19151;Among#c17669;Among#c19840;Among#c10499;Among#c20535;Among#c13820;Among#c19676;Among#c3963;Among#c15300;Among#c20633;Among#c12206;Among#c15839;Among#c20036;Among#c8171;Among#c14013;Among#c19607;Among#c19195;Among#c20869;Among#c9703;Among#c12995;Among#c18588;Among#c15351;Among#c10111;Among#c12179;Among#c19986;Among#c19870;Among#c9882;Among#c20292;Among#c16452;Among#c10846;Among#c8110
GO:0006518	peptide metabolic process	113	1578	194	13485	1.2292212961588337e-55	5.44545034198e-53	Among#c15613;Among#c10693;Among#c18829;Among#c11470;Among#c14690;Among#c19062;Among#c13484;Among#c14201;Among#c14202;Among#c18690;Among#c13795;Among#c18100;Among#c13663;Among#c13467;Among#c12534;Among#c9772;Among#c17941;Among#c17018;Among#c10676;Among#c14168;Among#c18118;Among#c14164;Among#c14300;Among#c12699;Among#c13476;Among#c15787;Among#c8901;Among#c10895;Among#c10062;Among#c12910;Among#c16784;Among#c21095;Among#c13303;Among#c20328;Among#c17363;Among#c11687;Among#c10654;Among#c19221;Among#c22469;Among#c18889;Among#c20918;Among#c22065;Among#c16159;Among#c11104;Among#c21644;Among#c18257;Among#c13738;Among#c20902;Among#c13994;Among#c17166;Among#c17980;Among#c13216;Among#c19114;Among#c22220;Among#c16172;Among#c20112;Among#c9272;Among#c21985;Among#c18769;Among#c10285;Among#c9059;Among#c14059;Among#c11712;Among#c10386;Among#c20958;Among#c10144;Among#c18979;Among#c17645;Among#c21284;Among#c17462;Among#c10542;Among#c18568;Among#c19766;Among#c12043;Among#c17883;Among#c19169;Among#c18943;Among#c20168;Among#c17076;Among#c22404;Among#c22405;Among#c19151;Among#c17669;Among#c19840;Among#c10499;Among#c20535;Among#c13820;Among#c19676;Among#c3963;Among#c15300;Among#c20633;Among#c12206;Among#c15839;Among#c20036;Among#c8171;Among#c14013;Among#c19607;Among#c19195;Among#c20869;Among#c9703;Among#c10736;Among#c12995;Among#c18588;Among#c15351;Among#c10111;Among#c12179;Among#c19986;Among#c19870;Among#c9882;Among#c20292;Among#c16452;Among#c10846;Among#c8110
GO:0043604	amide biosynthetic process	113	1578	202	13485	4.12388455687038e-53	1.56589787888e-50	Among#c15613;Among#c10693;Among#c18829;Among#c11470;Among#c14690;Among#c19062;Among#c8298;Among#c8299;Among#c13484;Among#c14201;Among#c14202;Among#c18690;Among#c13795;Among#c18100;Among#c13663;Among#c13467;Among#c12534;Among#c9772;Among#c17941;Among#c17018;Among#c10676;Among#c14168;Among#c18118;Among#c14164;Among#c14300;Among#c12699;Among#c13476;Among#c15787;Among#c8901;Among#c10895;Among#c10062;Among#c12910;Among#c16784;Among#c21095;Among#c13303;Among#c20328;Among#c17363;Among#c11687;Among#c10654;Among#c19221;Among#c22469;Among#c18889;Among#c20918;Among#c22065;Among#c16159;Among#c11104;Among#c21644;Among#c18257;Among#c13738;Among#c20902;Among#c13994;Among#c17166;Among#c13216;Among#c19114;Among#c22220;Among#c16172;Among#c20112;Among#c9272;Among#c21985;Among#c18769;Among#c10285;Among#c9059;Among#c11712;Among#c10386;Among#c10144;Among#c18979;Among#c17645;Among#c21284;Among#c17462;Among#c10542;Among#c18568;Among#c19766;Among#c12043;Among#c17883;Among#c19169;Among#c18943;Among#c20168;Among#c17076;Among#c11605;Among#c22404;Among#c22405;Among#c19151;Among#c17669;Among#c19840;Among#c10499;Among#c20535;Among#c13820;Among#c19676;Among#c3963;Among#c15300;Among#c20633;Among#c12206;Among#c15839;Among#c20036;Among#c8171;Among#c9950;Among#c14013;Among#c19607;Among#c19195;Among#c20869;Among#c9703;Among#c12995;Among#c18588;Among#c15351;Among#c10111;Among#c12179;Among#c19986;Among#c19870;Among#c9882;Among#c20292;Among#c16452;Among#c10846;Among#c8110
GO:0043603	cellular amide metabolic process	122	1578	244	13485	3.5798397177077254e-50	1.18940174621e-47	Among#c15613;Among#c10693;Among#c18829;Among#c11470;Among#c14690;Among#c19062;Among#c8298;Among#c8299;Among#c13484;Among#c14201;Among#c14202;Among#c18690;Among#c13795;Among#c18100;Among#c13663;Among#c13467;Among#c12534;Among#c9772;Among#c17941;Among#c17018;Among#c10676;Among#c14168;Among#c18118;Among#c14164;Among#c14300;Among#c12699;Among#c13476;Among#c15787;Among#c8901;Among#c10895;Among#c10062;Among#c12910;Among#c16784;Among#c21095;Among#c13303;Among#c20328;Among#c17363;Among#c11687;Among#c10654;Among#c19221;Among#c22461;Among#c22469;Among#c18889;Among#c20918;Among#c22065;Among#c16159;Among#c11104;Among#c21644;Among#c18257;Among#c13738;Among#c20902;Among#c13994;Among#c17166;Among#c17980;Among#c13216;Among#c19114;Among#c22220;Among#c16172;Among#c20112;Among#c9272;Among#c21985;Among#c18769;Among#c10285;Among#c9059;Among#c21294;Among#c14059;Among#c11712;Among#c10386;Among#c20958;Among#c10144;Among#c18979;Among#c17645;Among#c21284;Among#c17462;Among#c10542;Among#c18568;Among#c19766;Among#c12043;Among#c17883;Among#c19169;Among#c18943;Among#c20168;Among#c17076;Among#c12894;Among#c11605;Among#c22404;Among#c22405;Among#c19151;Among#c17669;Among#c19840;Among#c10499;Among#c20535;Among#c13820;Among#c19676;Among#c11289;Among#c3963;Among#c15300;Among#c20633;Among#c12206;Among#c15839;Among#c20036;Among#c8171;Among#c9950;Among#c14013;Among#c19607;Among#c19195;Among#c20869;Among#c9703;Among#c10736;Among#c12995;Among#c18588;Among#c15351;Among#c10111;Among#c12179;Among#c22760;Among#c19986;Among#c19870;Among#c9882;Among#c20292;Among#c16452;Among#c10846;Among#c8110
GO:0043228	non-membrane-bounded organelle	123	1578	255	13485	2.1225028544091013e-48	5.64161258702e-46	Among#c15613;Among#c10693;Among#c11470;Among#c20065;Among#c13484;Among#c14201;Among#c14202;Among#c18690;Among#c13795;Among#c18100;Among#c13663;Among#c13468;Among#c13467;Among#c12534;Among#c9772;Among#c17018;Among#c21840;Among#c10676;Among#c14168;Among#c18118;Among#c14164;Among#c14300;Among#c13476;Among#c15787;Among#c8901;Among#c8342;Among#c10895;Among#c10062;Among#c18895;Among#c12910;Among#c16784;Among#c21095;Among#c16769;Among#c20328;Among#c17363;Among#c11687;Among#c10654;Among#c19221;Among#c18889;Among#c20918;Among#c22065;Among#c16159;Among#c11104;Among#c21644;Among#c14157;Among#c18257;Among#c11355;Among#c13738;Among#c20902;Among#c13994;Among#c17166;Among#c13216;Among#c19114;Among#c22220;Among#c16172;Among#c20112;Among#c9272;Among#c21985;Among#c18769;Among#c10285;Among#c9059;Among#c22529;Among#c10386;Among#c10144;Among#c17645;Among#c21284;Among#c17462;Among#c10542;Among#c13551;Among#c18568;Among#c14285;Among#c15649;Among#c19766;Among#c12043;Among#c17883;Among#c19169;Among#c18943;Among#c20168;Among#c20387;Among#c17076;Among#c15651;Among#c15650;Among#c22404;Among#c22405;Among#c19151;Among#c17669;Among#c19840;Among#c10499;Among#c20535;Among#c13820;Among#c19676;Among#c19633;Among#c11198;Among#c10932;Among#c16650;Among#c3963;Among#c1867;Among#c15300;Among#c20633;Among#c12206;Among#c15839;Among#c20036;Among#c8171;Among#c14013;Among#c19607;Among#c19195;Among#c20869;Among#c9703;Among#c12995;Among#c18588;Among#c15351;Among#c10111;Among#c12179;Among#c22760;Among#c3702;Among#c19986;Among#c19870;Among#c9882;Among#c20292;Among#c16452;Among#c16451;Among#c10846;Among#c8110
GO:0043232	intracellular non-membrane-bounded organelle	123	1578	255	13485	2.1225028544091013e-48	5.64161258702e-46	Among#c15613;Among#c10693;Among#c11470;Among#c20065;Among#c13484;Among#c14201;Among#c14202;Among#c18690;Among#c13795;Among#c18100;Among#c13663;Among#c13468;Among#c13467;Among#c12534;Among#c9772;Among#c17018;Among#c21840;Among#c10676;Among#c14168;Among#c18118;Among#c14164;Among#c14300;Among#c13476;Among#c15787;Among#c8901;Among#c8342;Among#c10895;Among#c10062;Among#c18895;Among#c12910;Among#c16784;Among#c21095;Among#c16769;Among#c20328;Among#c17363;Among#c11687;Among#c10654;Among#c19221;Among#c18889;Among#c20918;Among#c22065;Among#c16159;Among#c11104;Among#c21644;Among#c14157;Among#c18257;Among#c11355;Among#c13738;Among#c20902;Among#c13994;Among#c17166;Among#c13216;Among#c19114;Among#c22220;Among#c16172;Among#c20112;Among#c9272;Among#c21985;Among#c18769;Among#c10285;Among#c9059;Among#c22529;Among#c10386;Among#c10144;Among#c17645;Among#c21284;Among#c17462;Among#c10542;Among#c13551;Among#c18568;Among#c14285;Among#c15649;Among#c19766;Among#c12043;Among#c17883;Among#c19169;Among#c18943;Among#c20168;Among#c20387;Among#c17076;Among#c15651;Among#c15650;Among#c22404;Among#c22405;Among#c19151;Among#c17669;Among#c19840;Among#c10499;Among#c20535;Among#c13820;Among#c19676;Among#c19633;Among#c11198;Among#c10932;Among#c16650;Among#c3963;Among#c1867;Among#c15300;Among#c20633;Among#c12206;Among#c15839;Among#c20036;Among#c8171;Among#c14013;Among#c19607;Among#c19195;Among#c20869;Among#c9703;Among#c12995;Among#c18588;Among#c15351;Among#c10111;Among#c12179;Among#c22760;Among#c3702;Among#c19986;Among#c19870;Among#c9882;Among#c20292;Among#c16452;Among#c16451;Among#c10846;Among#c8110
