annotid	AnnotDesc	Interesting_genes_with_this_annotid	Interesting_genes_with_any_annotation	BG_with_annotid	BG_with_any_annotation	pvalue	p_adj_BH	Interesting_gene_ids
GO:0003735	structural constituent of ribosome	106	1567	176	13397	2.902830662347761e-54	4.00574197232e-51	Atrif#c10560;Atrif#c19258;Atrif#c9308;Atrif#c17770;Atrif#c8321;Atrif#c19887;Atrif#c13582;Atrif#c14294;Atrif#c15723;Atrif#c12604;Atrif#c8666;Atrif#c17831;Atrif#c17832;Atrif#c8129;Atrif#c9437;Atrif#c17626;Atrif#c14453;Atrif#c10354;Atrif#c20890;Atrif#c11711;Atrif#c22360;Atrif#c8062;Atrif#c18090;Atrif#c17078;Atrif#c14145;Atrif#c10727;Atrif#c20554;Atrif#c11255;Atrif#c20176;Atrif#c8078;Atrif#c16807;Atrif#c18089;Atrif#c14941;Atrif#c10731;Atrif#c16059;Atrif#c17987;Atrif#c21571;Atrif#c10679;Atrif#c10675;Atrif#c15026;Atrif#c15022;Atrif#c11613;Atrif#c16820;Atrif#c16822;Atrif#c12103;Atrif#c18846;Atrif#c17883;Atrif#c9864;Atrif#c11919;Atrif#c17274;Atrif#c17273;Atrif#c17272;Atrif#c13992;Atrif#c18831;Atrif#c18238;Atrif#c8514;Atrif#c14198;Atrif#c12837;Atrif#c12832;Atrif#c21193;Atrif#c20829;Atrif#c8038;Atrif#c19571;Atrif#c7997;Atrif#c15622;Atrif#c20015;Atrif#c12775;Atrif#c19818;Atrif#c17928;Atrif#c19361;Atrif#c19367;Atrif#c9582;Atrif#c15845;Atrif#c11920;Atrif#c22409;Atrif#c17680;Atrif#c20469;Atrif#c9769;Atrif#c18156;Atrif#c14521;Atrif#c16821;Atrif#c8939;Atrif#c21038;Atrif#c21253;Atrif#c19221;Atrif#c16250;Atrif#c22327;Atrif#c22417;Atrif#c22415;Atrif#c17230;Atrif#c12793;Atrif#c12559;Atrif#c19577;Atrif#c10948;Atrif#c10949;Atrif#c22426;Atrif#c8763;Atrif#c22687;Atrif#c18757;Atrif#c21010;Atrif#c10314;Atrif#c20305;Atrif#c21476;Atrif#c20695;Atrif#c16293;Atrif#c22328
GO:0005840	ribosome	104	1567	170	13397	3.39469658671324e-54	4.00574197232e-51	Atrif#c10560;Atrif#c19258;Atrif#c17770;Atrif#c19887;Atrif#c13582;Atrif#c14294;Atrif#c15723;Atrif#c12604;Atrif#c8666;Atrif#c17831;Atrif#c17832;Atrif#c8129;Atrif#c9437;Atrif#c17626;Atrif#c14453;Atrif#c10354;Atrif#c20890;Atrif#c11711;Atrif#c22360;Atrif#c4393;Atrif#c8062;Atrif#c18090;Atrif#c17078;Atrif#c14145;Atrif#c10727;Atrif#c20554;Atrif#c11255;Atrif#c20176;Atrif#c8078;Atrif#c16807;Atrif#c18089;Atrif#c14941;Atrif#c10731;Atrif#c16059;Atrif#c17987;Atrif#c14396;Atrif#c21571;Atrif#c10679;Atrif#c10675;Atrif#c15026;Atrif#c15022;Atrif#c11613;Atrif#c16820;Atrif#c16822;Atrif#c12103;Atrif#c18846;Atrif#c17883;Atrif#c9864;Atrif#c11919;Atrif#c17274;Atrif#c17273;Atrif#c17272;Atrif#c13992;Atrif#c18831;Atrif#c18238;Atrif#c8514;Atrif#c14198;Atrif#c12837;Atrif#c12832;Atrif#c21193;Atrif#c20829;Atrif#c8038;Atrif#c19571;Atrif#c5738;Atrif#c7997;Atrif#c15622;Atrif#c20015;Atrif#c12775;Atrif#c19818;Atrif#c17928;Atrif#c19361;Atrif#c19367;Atrif#c15845;Atrif#c11920;Atrif#c22409;Atrif#c17680;Atrif#c20469;Atrif#c9769;Atrif#c18156;Atrif#c14521;Atrif#c16821;Atrif#c8939;Atrif#c21038;Atrif#c19221;Atrif#c16250;Atrif#c22327;Atrif#c22417;Atrif#c22415;Atrif#c17230;Atrif#c12793;Atrif#c12559;Atrif#c19577;Atrif#c10948;Atrif#c10949;Atrif#c22426;Atrif#c22687;Atrif#c18757;Atrif#c21010;Atrif#c6317;Atrif#c20305;Atrif#c21476;Atrif#c16293;Atrif#c22328;Atrif#c13910
GO:0005198	structural molecule activity	119	1567	221	13397	1.6476257921895373e-53	1.29613228986e-50	Atrif#c10560;Atrif#c19258;Atrif#c9308;Atrif#c17770;Atrif#c8321;Atrif#c19887;Atrif#c13582;Atrif#c14294;Atrif#c15723;Atrif#c8048;Atrif#c12604;Atrif#c8666;Atrif#c17831;Atrif#c17832;Atrif#c8129;Atrif#c12295;Atrif#c9437;Atrif#c17626;Atrif#c14453;Atrif#c10354;Atrif#c20890;Atrif#c11711;Atrif#c22360;Atrif#c8062;Atrif#c18090;Atrif#c22380;Atrif#c17078;Atrif#c14145;Atrif#c12753;Atrif#c10727;Atrif#c20554;Atrif#c11255;Atrif#c20176;Atrif#c8078;Atrif#c16807;Atrif#c18089;Atrif#c14941;Atrif#c10731;Atrif#c15298;Atrif#c16059;Atrif#c17987;Atrif#c21571;Atrif#c10679;Atrif#c10675;Atrif#c15026;Atrif#c15022;Atrif#c11613;Atrif#c16820;Atrif#c16822;Atrif#c12103;Atrif#c18846;Atrif#c17883;Atrif#c22268;Atrif#c9864;Atrif#c11919;Atrif#c6028;Atrif#c17274;Atrif#c17273;Atrif#c17272;Atrif#c13992;Atrif#c22293;Atrif#c18831;Atrif#c18238;Atrif#c8514;Atrif#c14198;Atrif#c12837;Atrif#c12832;Atrif#c21193;Atrif#c20829;Atrif#c8038;Atrif#c19571;Atrif#c7997;Atrif#c15622;Atrif#c20015;Atrif#c13885;Atrif#c12775;Atrif#c19818;Atrif#c17928;Atrif#c19361;Atrif#c19367;Atrif#c9903;Atrif#c9582;Atrif#c15845;Atrif#c11920;Atrif#c22409;Atrif#c17680;Atrif#c20469;Atrif#c9769;Atrif#c22793;Atrif#c18156;Atrif#c14521;Atrif#c16821;Atrif#c8939;Atrif#c21038;Atrif#c21253;Atrif#c19221;Atrif#c16250;Atrif#c22327;Atrif#c22417;Atrif#c22415;Atrif#c17239;Atrif#c17230;Atrif#c12793;Atrif#c12559;Atrif#c19577;Atrif#c10948;Atrif#c10949;Atrif#c22426;Atrif#c8763;Atrif#c22687;Atrif#c18757;Atrif#c21010;Atrif#c10314;Atrif#c20305;Atrif#c21476;Atrif#c20695;Atrif#c16293;Atrif#c16343;Atrif#c22328
GO:0006412	translation	102	1567	176	13397	5.269650060089136e-50	3.10909353545e-47	Atrif#c10560;Atrif#c19258;Atrif#c9308;Atrif#c17770;Atrif#c8321;Atrif#c19887;Atrif#c13582;Atrif#c14294;Atrif#c15723;Atrif#c12604;Atrif#c8666;Atrif#c17831;Atrif#c17832;Atrif#c8129;Atrif#c9437;Atrif#c17626;Atrif#c14453;Atrif#c10354;Atrif#c20890;Atrif#c11711;Atrif#c22360;Atrif#c8062;Atrif#c18090;Atrif#c17078;Atrif#c14145;Atrif#c10727;Atrif#c20554;Atrif#c11255;Atrif#c20176;Atrif#c8078;Atrif#c16807;Atrif#c18089;Atrif#c14941;Atrif#c10731;Atrif#c16059;Atrif#c21571;Atrif#c10679;Atrif#c10675;Atrif#c15026;Atrif#c15022;Atrif#c11613;Atrif#c16820;Atrif#c16822;Atrif#c12103;Atrif#c18846;Atrif#c9864;Atrif#c11919;Atrif#c17274;Atrif#c17273;Atrif#c17272;Atrif#c13992;Atrif#c18831;Atrif#c18238;Atrif#c8514;Atrif#c14198;Atrif#c12837;Atrif#c12832;Atrif#c20829;Atrif#c8038;Atrif#c19571;Atrif#c7997;Atrif#c15622;Atrif#c20015;Atrif#c12775;Atrif#c19818;Atrif#c17928;Atrif#c19361;Atrif#c19367;Atrif#c9582;Atrif#c11920;Atrif#c22409;Atrif#c17680;Atrif#c20469;Atrif#c9769;Atrif#c18156;Atrif#c14521;Atrif#c16821;Atrif#c8939;Atrif#c21038;Atrif#c21253;Atrif#c19221;Atrif#c16250;Atrif#c22327;Atrif#c22417;Atrif#c22415;Atrif#c17230;Atrif#c12793;Atrif#c12559;Atrif#c19577;Atrif#c10948;Atrif#c10949;Atrif#c22426;Atrif#c8763;Atrif#c22687;Atrif#c18757;Atrif#c21010;Atrif#c20305;Atrif#c20309;Atrif#c21476;Atrif#c20695;Atrif#c16293;Atrif#c22328
GO:0043228	non-membrane-bounded organelle	120	1567	245	13397	3.7077620347018926e-48	1.45838640032e-45	Atrif#c10560;Atrif#c19258;Atrif#c17770;Atrif#c19887;Atrif#c22175;Atrif#c13582;Atrif#c14294;Atrif#c15723;Atrif#c18551;Atrif#c12604;Atrif#c8666;Atrif#c17831;Atrif#c17832;Atrif#c16570;Atrif#c8129;Atrif#c9437;Atrif#c17626;Atrif#c14453;Atrif#c5815;Atrif#c10354;Atrif#c20890;Atrif#c11711;Atrif#c22360;Atrif#c4393;Atrif#c8062;Atrif#c18090;Atrif#c17078;Atrif#c14145;Atrif#c10727;Atrif#c20554;Atrif#c11255;Atrif#c20176;Atrif#c8078;Atrif#c16807;Atrif#c18089;Atrif#c14941;Atrif#c10731;Atrif#c16059;Atrif#c17987;Atrif#c14396;Atrif#c21571;Atrif#c10679;Atrif#c10675;Atrif#c15026;Atrif#c15022;Atrif#c22207;Atrif#c11613;Atrif#c16820;Atrif#c16822;Atrif#c12103;Atrif#c18846;Atrif#c17883;Atrif#c9864;Atrif#c11919;Atrif#c17274;Atrif#c17273;Atrif#c17272;Atrif#c13992;Atrif#c18831;Atrif#c18238;Atrif#c8514;Atrif#c14198;Atrif#c12837;Atrif#c12832;Atrif#c21193;Atrif#c20829;Atrif#c21993;Atrif#c8038;Atrif#c15861;Atrif#c19571;Atrif#c5738;Atrif#c7997;Atrif#c15622;Atrif#c20015;Atrif#c8190;Atrif#c12775;Atrif#c19818;Atrif#c17928;Atrif#c8404;Atrif#c5903;Atrif#c19361;Atrif#c19367;Atrif#c9582;Atrif#c15845;Atrif#c11920;Atrif#c22409;Atrif#c17680;Atrif#c20469;Atrif#c9769;Atrif#c18156;Atrif#c14521;Atrif#c16821;Atrif#c8939;Atrif#c21038;Atrif#c19221;Atrif#c19099;Atrif#c15504;Atrif#c16250;Atrif#c22327;Atrif#c22417;Atrif#c22415;Atrif#c17230;Atrif#c12793;Atrif#c12559;Atrif#c19577;Atrif#c10948;Atrif#c10949;Atrif#c22426;Atrif#c22687;Atrif#c19751;Atrif#c18757;Atrif#c21010;Atrif#c6317;Atrif#c20305;Atrif#c21476;Atrif#c16293;Atrif#c22328;Atrif#c12531;Atrif#c19100;Atrif#c13910
GO:0043232	intracellular non-membrane-bounded organelle	120	1567	245	13397	3.7077620347018926e-48	1.45838640032e-45	Atrif#c10560;Atrif#c19258;Atrif#c17770;Atrif#c19887;Atrif#c22175;Atrif#c13582;Atrif#c14294;Atrif#c15723;Atrif#c18551;Atrif#c12604;Atrif#c8666;Atrif#c17831;Atrif#c17832;Atrif#c16570;Atrif#c8129;Atrif#c9437;Atrif#c17626;Atrif#c14453;Atrif#c5815;Atrif#c10354;Atrif#c20890;Atrif#c11711;Atrif#c22360;Atrif#c4393;Atrif#c8062;Atrif#c18090;Atrif#c17078;Atrif#c14145;Atrif#c10727;Atrif#c20554;Atrif#c11255;Atrif#c20176;Atrif#c8078;Atrif#c16807;Atrif#c18089;Atrif#c14941;Atrif#c10731;Atrif#c16059;Atrif#c17987;Atrif#c14396;Atrif#c21571;Atrif#c10679;Atrif#c10675;Atrif#c15026;Atrif#c15022;Atrif#c22207;Atrif#c11613;Atrif#c16820;Atrif#c16822;Atrif#c12103;Atrif#c18846;Atrif#c17883;Atrif#c9864;Atrif#c11919;Atrif#c17274;Atrif#c17273;Atrif#c17272;Atrif#c13992;Atrif#c18831;Atrif#c18238;Atrif#c8514;Atrif#c14198;Atrif#c12837;Atrif#c12832;Atrif#c21193;Atrif#c20829;Atrif#c21993;Atrif#c8038;Atrif#c15861;Atrif#c19571;Atrif#c5738;Atrif#c7997;Atrif#c15622;Atrif#c20015;Atrif#c8190;Atrif#c12775;Atrif#c19818;Atrif#c17928;Atrif#c8404;Atrif#c5903;Atrif#c19361;Atrif#c19367;Atrif#c9582;Atrif#c15845;Atrif#c11920;Atrif#c22409;Atrif#c17680;Atrif#c20469;Atrif#c9769;Atrif#c18156;Atrif#c14521;Atrif#c16821;Atrif#c8939;Atrif#c21038;Atrif#c19221;Atrif#c19099;Atrif#c15504;Atrif#c16250;Atrif#c22327;Atrif#c22417;Atrif#c22415;Atrif#c17230;Atrif#c12793;Atrif#c12559;Atrif#c19577;Atrif#c10948;Atrif#c10949;Atrif#c22426;Atrif#c22687;Atrif#c19751;Atrif#c18757;Atrif#c21010;Atrif#c6317;Atrif#c20305;Atrif#c21476;Atrif#c16293;Atrif#c22328;Atrif#c12531;Atrif#c19100;Atrif#c13910
GO:0043043	peptide biosynthetic process	102	1567	184	13397	1.63059498245189e-47	5.49743451227e-45	Atrif#c10560;Atrif#c19258;Atrif#c9308;Atrif#c17770;Atrif#c8321;Atrif#c19887;Atrif#c13582;Atrif#c14294;Atrif#c15723;Atrif#c12604;Atrif#c8666;Atrif#c17831;Atrif#c17832;Atrif#c8129;Atrif#c9437;Atrif#c17626;Atrif#c14453;Atrif#c10354;Atrif#c20890;Atrif#c11711;Atrif#c22360;Atrif#c8062;Atrif#c18090;Atrif#c17078;Atrif#c14145;Atrif#c10727;Atrif#c20554;Atrif#c11255;Atrif#c20176;Atrif#c8078;Atrif#c16807;Atrif#c18089;Atrif#c14941;Atrif#c10731;Atrif#c16059;Atrif#c21571;Atrif#c10679;Atrif#c10675;Atrif#c15026;Atrif#c15022;Atrif#c11613;Atrif#c16820;Atrif#c16822;Atrif#c12103;Atrif#c18846;Atrif#c9864;Atrif#c11919;Atrif#c17274;Atrif#c17273;Atrif#c17272;Atrif#c13992;Atrif#c18831;Atrif#c18238;Atrif#c8514;Atrif#c14198;Atrif#c12837;Atrif#c12832;Atrif#c20829;Atrif#c8038;Atrif#c19571;Atrif#c7997;Atrif#c15622;Atrif#c20015;Atrif#c12775;Atrif#c19818;Atrif#c17928;Atrif#c19361;Atrif#c19367;Atrif#c9582;Atrif#c11920;Atrif#c22409;Atrif#c17680;Atrif#c20469;Atrif#c9769;Atrif#c18156;Atrif#c14521;Atrif#c16821;Atrif#c8939;Atrif#c21038;Atrif#c21253;Atrif#c19221;Atrif#c16250;Atrif#c22327;Atrif#c22417;Atrif#c22415;Atrif#c17230;Atrif#c12793;Atrif#c12559;Atrif#c19577;Atrif#c10948;Atrif#c10949;Atrif#c22426;Atrif#c8763;Atrif#c22687;Atrif#c18757;Atrif#c21010;Atrif#c20305;Atrif#c20309;Atrif#c21476;Atrif#c20695;Atrif#c16293;Atrif#c22328
GO:0006518	peptide metabolic process	106	1567	204	13397	9.619301407714374e-46	2.83769391528e-43	Atrif#c10560;Atrif#c19258;Atrif#c9308;Atrif#c17770;Atrif#c12509;Atrif#c8321;Atrif#c19887;Atrif#c13582;Atrif#c14294;Atrif#c15723;Atrif#c12604;Atrif#c8666;Atrif#c17831;Atrif#c17832;Atrif#c8129;Atrif#c9437;Atrif#c17626;Atrif#c14453;Atrif#c10354;Atrif#c20890;Atrif#c11711;Atrif#c22360;Atrif#c8062;Atrif#c18090;Atrif#c17078;Atrif#c14145;Atrif#c10727;Atrif#c20554;Atrif#c11255;Atrif#c20176;Atrif#c8078;Atrif#c16807;Atrif#c17044;Atrif#c18089;Atrif#c14941;Atrif#c10731;Atrif#c16059;Atrif#c21571;Atrif#c10679;Atrif#c10675;Atrif#c15026;Atrif#c15022;Atrif#c11613;Atrif#c16820;Atrif#c16822;Atrif#c12103;Atrif#c18846;Atrif#c9864;Atrif#c11919;Atrif#c17274;Atrif#c17273;Atrif#c17272;Atrif#c13992;Atrif#c20633;Atrif#c18831;Atrif#c18238;Atrif#c8514;Atrif#c14198;Atrif#c12837;Atrif#c12832;Atrif#c20829;Atrif#c8038;Atrif#c19571;Atrif#c7997;Atrif#c15622;Atrif#c20015;Atrif#c12775;Atrif#c19818;Atrif#c14335;Atrif#c17928;Atrif#c19361;Atrif#c19367;Atrif#c9582;Atrif#c11920;Atrif#c22409;Atrif#c17680;Atrif#c20469;Atrif#c9769;Atrif#c18156;Atrif#c14521;Atrif#c16821;Atrif#c8939;Atrif#c21038;Atrif#c21253;Atrif#c19221;Atrif#c16250;Atrif#c22327;Atrif#c22417;Atrif#c22415;Atrif#c17230;Atrif#c12793;Atrif#c12559;Atrif#c19577;Atrif#c10948;Atrif#c10949;Atrif#c22426;Atrif#c8763;Atrif#c22687;Atrif#c18757;Atrif#c21010;Atrif#c20305;Atrif#c20309;Atrif#c21476;Atrif#c20695;Atrif#c16293;Atrif#c22328
GO:0043604	amide biosynthetic process	104	1567	211	13397	3.9736488420312956e-42	1.04197902969e-39	Atrif#c10560;Atrif#c19258;Atrif#c9308;Atrif#c17770;Atrif#c8321;Atrif#c19887;Atrif#c13582;Atrif#c14294;Atrif#c15723;Atrif#c12604;Atrif#c8666;Atrif#c17831;Atrif#c17832;Atrif#c8129;Atrif#c9437;Atrif#c17626;Atrif#c14453;Atrif#c10354;Atrif#c20890;Atrif#c11711;Atrif#c22360;Atrif#c8062;Atrif#c18090;Atrif#c17078;Atrif#c14145;Atrif#c10727;Atrif#c20554;Atrif#c11255;Atrif#c20176;Atrif#c8078;Atrif#c16807;Atrif#c18089;Atrif#c14941;Atrif#c10731;Atrif#c16059;Atrif#c21571;Atrif#c10679;Atrif#c10675;Atrif#c15026;Atrif#c15022;Atrif#c11613;Atrif#c16820;Atrif#c16822;Atrif#c12103;Atrif#c18846;Atrif#c9864;Atrif#c11919;Atrif#c17274;Atrif#c17273;Atrif#c17272;Atrif#c13992;Atrif#c18831;Atrif#c10504;Atrif#c18238;Atrif#c8514;Atrif#c14198;Atrif#c12837;Atrif#c12832;Atrif#c20829;Atrif#c8038;Atrif#c16449;Atrif#c19571;Atrif#c7997;Atrif#c15622;Atrif#c20015;Atrif#c12775;Atrif#c19818;Atrif#c17928;Atrif#c19361;Atrif#c19367;Atrif#c9582;Atrif#c11920;Atrif#c22409;Atrif#c17680;Atrif#c20469;Atrif#c9769;Atrif#c18156;Atrif#c14521;Atrif#c16821;Atrif#c8939;Atrif#c21038;Atrif#c21253;Atrif#c19221;Atrif#c16250;Atrif#c22327;Atrif#c22417;Atrif#c22415;Atrif#c17230;Atrif#c12793;Atrif#c12559;Atrif#c19577;Atrif#c10948;Atrif#c10949;Atrif#c22426;Atrif#c8763;Atrif#c22687;Atrif#c18757;Atrif#c21010;Atrif#c20305;Atrif#c20309;Atrif#c21476;Atrif#c20695;Atrif#c16293;Atrif#c22328
GO:0043603	cellular amide metabolic process	110	1567	238	13397	4.180565021854025e-41	9.86613345158e-39	Atrif#c10560;Atrif#c19258;Atrif#c9308;Atrif#c17770;Atrif#c12509;Atrif#c8321;Atrif#c19887;Atrif#c13582;Atrif#c14294;Atrif#c15723;Atrif#c12604;Atrif#c8666;Atrif#c17831;Atrif#c17832;Atrif#c8129;Atrif#c9437;Atrif#c17626;Atrif#c14453;Atrif#c10354;Atrif#c20890;Atrif#c11711;Atrif#c22360;Atrif#c8062;Atrif#c18090;Atrif#c17078;Atrif#c14145;Atrif#c10727;Atrif#c20554;Atrif#c11255;Atrif#c20176;Atrif#c8078;Atrif#c16807;Atrif#c17044;Atrif#c18089;Atrif#c14941;Atrif#c10731;Atrif#c16059;Atrif#c21571;Atrif#c10679;Atrif#c10675;Atrif#c15026;Atrif#c15022;Atrif#c11613;Atrif#c16820;Atrif#c16822;Atrif#c12103;Atrif#c18846;Atrif#c9864;Atrif#c11919;Atrif#c17274;Atrif#c17273;Atrif#c17272;Atrif#c13992;Atrif#c20633;Atrif#c18831;Atrif#c10504;Atrif#c18238;Atrif#c8514;Atrif#c14198;Atrif#c12837;Atrif#c12832;Atrif#c20829;Atrif#c8038;Atrif#c16449;Atrif#c18950;Atrif#c19571;Atrif#c7997;Atrif#c15622;Atrif#c20015;Atrif#c12775;Atrif#c19818;Atrif#c14335;Atrif#c17928;Atrif#c19361;Atrif#c19367;Atrif#c9582;Atrif#c15685;Atrif#c11920;Atrif#c22409;Atrif#c17680;Atrif#c20469;Atrif#c9769;Atrif#c18156;Atrif#c14521;Atrif#c16821;Atrif#c8939;Atrif#c21038;Atrif#c21253;Atrif#c19221;Atrif#c16250;Atrif#c22327;Atrif#c22417;Atrif#c22415;Atrif#c17230;Atrif#c12793;Atrif#c12559;Atrif#c19577;Atrif#c10948;Atrif#c10949;Atrif#c22426;Atrif#c8763;Atrif#c22687;Atrif#c18757;Atrif#c21010;Atrif#c20305;Atrif#c20309;Atrif#c21476;Atrif#c20695;Atrif#c16293;Atrif#c22328
